timeframe,direction,target_pips,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,oos_samples,oos_hit_rate,oos_lift,all_samples,all_hit_rate,all_lift
h4,bull,150,price20+macd+adx+di,986,0.07809331,1.67395695,228,0.08333333,1.52307692,112,0.01785714,0.50274725,1326,0.07390649,1.57720559
h4,bull,150,price20+adx+di+volatility,538,0.07806691,1.67339123,114,0.07017544,1.28259109,53,0.01886792,0.53120464,705,0.07234043,1.54378499
h4,bull,150,macd+adx+di,1017,0.07767945,1.66508578,235,0.08510638,1.55548282,115,0.01739130,0.48963211,1367,0.07388442,1.57673466
h4,bull,150,trend+price200+macd+adx,606,0.07755776,1.66247724,145,0.05517241,1.00838196,67,0.02985075,0.84041332,818,0.06968215,1.48705595
h4,bull,150,trend+macd+adx,607,0.07742998,1.65973840,145,0.05517241,1.00838196,67,0.02985075,0.84041332,819,0.06959707,1.48524025
h4,bull,150,price20+macd+adx+volatility,504,0.07738095,1.65868740,112,0.07142857,1.30549451,64,0.01562500,0.43990385,680,0.07058824,1.50639228
h4,bull,150,price200+macd+adx+bb,828,0.07729469,1.65683825,198,0.07575758,1.38461538,106,0.01886792,0.53120464,1132,0.07155477,1.52701867
h4,bull,150,price200+macd+adx+di,809,0.07663782,1.64275819,189,0.07936508,1.45054945,92,0.02173913,0.61204013,1090,0.07247706,1.54670094
h4,bull,150,adx+di+volatility,603,0.07628524,1.63520043,128,0.07031250,1.28509615,59,0.01694915,0.47718383,790,0.07088608,1.51274836
h4,bull,150,trend+macd+adx+volatility,276,0.07608696,1.63095015,71,0.04225352,0.77226436,0,,,375,0.06666667,1.42270382
h4,bull,150,macd+adx+volatility+bb,540,0.07592593,1.62749840,118,0.06779661,1.23911343,68,0.01470588,0.41402715,726,0.06887052,1.46973535
h4,bull,150,macd+adx+bb+body,382,0.07591623,1.62729058,76,0.07894737,1.44291498,0,,,505,0.06930693,1.47904852
h4,bull,150,price20+price200+macd+adx,818,0.07579462,1.62468384,195,0.07692308,1.40591716,102,0.01960784,0.55203620,1115,0.07085202,1.51202155
h4,bull,150,macd+adx+bb,1109,0.07574391,1.62359690,252,0.07936508,1.45054945,147,0.02721088,0.76609105,1508,0.07161804,1.52836882
h4,bull,150,price20+macd+adx+bb,1045,0.07559809,1.62047104,243,0.08230453,1.50427350,140,0.02857143,0.80439560,1428,0.07212885,1.53926989
h4,bull,150,price20+macd+adx,1049,0.07530982,1.61429194,243,0.08230453,1.50427350,140,0.02857143,0.80439560,1432,0.07192737,1.53497025
h4,bull,150,momentum+macd+adx+volatility,360,0.07500000,1.60765086,71,0.08450704,1.54452871,0,,,477,0.06918239,1.47639075
h4,bull,150,price20+adx+volatility+bb,561,0.07486631,1.60478517,119,0.06722689,1.22870071,69,0.01449275,0.40802676,749,0.06809079,1.45309536
h4,bull,150,price200+adx+volatility,628,0.07484076,1.60423759,143,0.07692308,1.40591716,73,0.01369863,0.38566913,844,0.06990521,1.49181621
h4,bull,150,price200+macd+volatility+body,254,0.07480315,1.60343131,66,0.09090909,1.66153846,0,,,355,0.07323944,1.56297039
h4,bull,150,trend+price20+macd+adx,590,0.07457627,1.59856809,142,0.04929577,0.90097508,65,0.03076923,0.86627219,797,0.06649937,1.41913367
h4,bull,150,adx+volatility+body,577,0.07452340,1.59743471,106,0.08490566,1.55181422,86,0.03488372,0.98211091,769,0.07152146,1.52630774
h4,bull,150,trend+macd+adx+di,593,0.07419899,1.59048090,141,0.05673759,1.03698854,64,0.03125000,0.87980769,798,0.06766917,1.44409786
h4,bull,150,macd+adx+body,487,0.07392197,1.58454294,92,0.07608696,1.39063545,62,0.03225806,0.90818859,641,0.07020281,1.49816705
h4,bull,150,trend+macd+adx+bb,596,0.07382550,1.58247512,144,0.04861111,0.88846154,67,0.02985075,0.84041332,807,0.06567534,1.40154837
h4,bull,150,macd+adx+volatility+body,259,0.07335907,1.57247703,50,0.10000000,1.82769231,0,,,338,0.07692308,1.64158133
h4,bull,150,adx+volatility+bb,600,0.07333333,1.57192529,126,0.06349206,1.16043956,73,0.01369863,0.38566913,799,0.06633292,1.41558140
h4,bull,150,macd+adx+di+body,355,0.07323944,1.56991258,75,0.09333333,1.70584615,0,,,469,0.07036247,1.50157439
h4,bull,150,macd+adx+volatility,656,0.07317073,1.56843987,139,0.06474820,1.18339790,90,0.05555556,1.56410256,885,0.07005650,1.49504469
