timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,1,50,ichimoku_cloud_bull+superbb_bull+elliott_impulse_bull,167,0.12574850,2.52255751,39,0.17948718,3.44474610,0.08977265,22,0.09090909,2.85822268,0.02529543
h4,1,50,adx25+atr_expand+mtf_volatility+cross_group_bull,232,0.12500000,2.50754229,49,0.18367347,3.52509004,0.09976341,28,0.10714286,3.36861958,0.03711837
h4,1,50,superbb_bull+impulse_bull+elliott_wave5_bull+cross_group_return_up,192,0.12500000,2.50754229,42,0.14285714,2.74173669,0.06715967,36,0.11111111,3.49338327,0.04406640
h4,1,50,ichimoku_cloud_bull+superbb_bull+horizontal_break_up+elliott_impulse_bull,128,0.12500000,2.50754229,29,0.17241379,3.30899256,0.07597857,17,0.11764706,3.69887640,0.03287977
h4,1,50,superbb_bull+elliott_wave5_bull+cross_group_return_up,193,0.12435233,2.49454984,42,0.14285714,2.74173669,0.06715967,36,0.11111111,3.49338327,0.04406640
h4,1,50,price20_bull+superbb_bull+elliott_wave5_bull+cross_group_return_up,193,0.12435233,2.49454984,42,0.14285714,2.74173669,0.06715967,36,0.11111111,3.49338327,0.04406640
h4,1,50,ema20_rising+superbb_bull+elliott_wave5_bull+cross_group_return_up,193,0.12435233,2.49454984,42,0.14285714,2.74173669,0.06715967,36,0.11111111,3.49338327,0.04406640
h4,1,50,superbb_bull+horizontal_break_up+elliott_wave5_bull+cross_group_return_up,121,0.12396694,2.48681880,27,0.14814815,2.84328250,0.05915928,27,0.14814815,4.65784436,0.05915928
h4,1,50,triangle_breakout_up+impulse_bull,186,0.12365591,2.48057947,25,0.16000000,3.07074510,0.06403451,22,0.04545455,1.42911134,0.00806943
h4,1,50,price20_bull+triangle_breakout_up+impulse_bull,186,0.12365591,2.48057947,25,0.16000000,3.07074510,0.06403451,22,0.04545455,1.42911134,0.00806943
h4,1,50,ema20_rising+triangle_breakout_up+impulse_bull,186,0.12365591,2.48057947,25,0.16000000,3.07074510,0.06403451,22,0.04545455,1.42911134,0.00806943
h4,1,100,adx25+atr_expand+impulse_bull+mtf_volatility,224,0.07142857,10.33814728,38,0.05263158,7.35939850,0.01455421,24,0.04166667,19.43194444,0.00739346
h4,1,100,adx_up3+atr_expand+pullback_bull+mtf_volatility,141,0.06382979,9.23834438,24,0.08333333,11.65238095,0.02315882,24,0.00000000,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,0.06289308,9.10277119,70,0.08571429,11.98530612,0.03987667,53,0.01886792,8.79937107,0.00333845
h4,1,100,adx_up3+atr_expand+mtf_volatility,431,0.06264501,9.06686699,68,0.04411765,6.16890756,0.01511662,87,0.01149425,5.36053640,0.00203191
h4,1,100,atr_expand+mtf_volatility+adx25,697,0.06025825,8.72142124,112,0.06250000,8.73928571,0.03060192,83,0.01204819,5.61887550,0.00212998
h4,1,100,adx25+atr_expand+mtf_volatility,697,0.06025825,8.72142124,112,0.06250000,8.73928571,0.03060192,83,0.01204819,5.61887550,0.00212998
h4,1,100,atr_expand+pullback_bull+mtf_volatility+cross_target_relative_up,203,0.05911330,8.55570809,42,0.04761905,6.65850340,0.01315752,24,0.04166667,19.43194444,0.00739346
h4,1,100,rsi_up1+atr_expand+mtf_volatility,378,0.05820106,8.42367556,68,0.05882353,8.22521008,0.02311077,58,0.01724138,8.04080460,0.00305004
h4,1,100,rsi_up1+atr_expand+mtf_volatility+cross_group_return_up,146,0.05479452,7.93063353,31,0.03225806,4.51059908,0.00571722,21,0.00000000,0.00000000,-0.00000000
h4,1,100,adx_up3+atr_expand+impulse_bull+mtf_adx25,186,0.05376344,7.78140118,23,0.00000000,0.00000000,0.00000000,30,0.03333333,15.54555556,0.00590859
h4,1,100,ichimoku_cloud_bull+rsi_up1+atr_expand+mtf_volatility,168,0.05357143,7.75361046,34,0.05882353,8.22521008,0.01628266,26,0.00000000,0.00000000,0.00000000
h4,1,100,rsi_up1+atr_expand+impulse_bull+mtf_volatility,338,0.05325444,7.70773111,58,0.06896552,9.64334975,0.02714425,50,0.02000000,9.32733333,0.00353926
h4,1,100,adx_up3+atr_expand+impulse_bull+mtf_adx_rising,266,0.05263158,7.61758221,53,0.03773585,5.27654987,0.01041029,43,0.02325581,10.84573643,0.00411709
