timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_ratio,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_ratio,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_ratio,oos_base_lift
d1,bull,1,bb_bull,7806,7511,0.25915962,0.24803621,0.01112341,1.04484590,1.04484590,2146.00000000,1610.00000000,0.23811743,0.26708075,-0.02896332,0.89155595,0.89155595,1485.00000000,1241.00000000,0.18047138,0.21756648,-0.03709510,0.82949994,0.82949994,0.91443305
d1,bull,20,rsi60,3648,11669,0.79331140,0.79646928,-0.00315787,0.99603516,0.99603516,917.00000000,2839.00000000,0.81134133,0.84114125,-0.02979992,0.96457204,0.96457204,683.00000000,2043.00000000,0.70571010,0.79393049,-0.08822039,0.88888147,0.88888147,0.91433733
h4,bull,12,adx_cross25_up,1464,77995,0.43306011,0.44306686,-0.01000675,0.97741480,0.97741480,345.00000000,19231.00000000,0.44057971,0.42478290,0.01579681,1.03718796,1.03718796,247.00000000,13744.00000000,0.34817814,0.38183935,-0.03366121,0.91184457,0.91184457,0.91326590
h4,bull,12,di_cross_up,3503,75956,0.45047102,0.44253252,0.00793851,1.01793881,1.01793881,896.00000000,18680.00000000,0.42075893,0.42526767,-0.00450874,0.98939788,0.98939788,601.00000000,13390.00000000,0.34775374,0.38274832,-0.03499458,0.90857027,0.90857027,0.91215272
d1,bull,3,momentum_bull,5271,10046,0.50711440,0.49402747,0.01308693,1.02649028,1.02649028,1533.00000000,2223.00000000,0.45662100,0.50292398,-0.04630297,0.90793246,0.90793246,1091.00000000,1635.00000000,0.40146654,0.46727829,-0.06581174,0.85915942,0.85915942,0.91048070
d1,bull,10,rsi60,3648,11669,0.71491228,0.71608535,-0.00117307,0.99836182,0.99836182,917.00000000,2839.00000000,0.69247546,0.74744628,-0.05497082,0.92645516,0.92645516,683.00000000,2043.00000000,0.62079063,0.70386686,-0.08307623,0.88197167,0.88197167,0.90884815
h4,bull,6,di_strong_bull,26918,52541,0.29069767,0.29335186,-0.00265418,0.99095222,0.99095222,6583.00000000,12993.00000000,0.26887437,0.29061803,-0.02174365,0.92518134,0.92518134,4249.00000000,9742.00000000,0.20875500,0.23978649,-0.03103149,0.87058700,0.87058700,0.90620267
h4,bull,6,momentum_bull,27660,51799,0.28485177,0.29651152,-0.01165974,0.96067693,0.96067693,7189.00000000,12387.00000000,0.26262345,0.29530960,-0.03268615,0.88931567,0.88931567,5271.00000000,8720.00000000,0.20868905,0.24346330,-0.03477425,0.85716841,0.85716841,0.90591640
d1,bear,10,price20_bear,7335,7982,0.69107021,0.69832122,-0.00725101,0.98961651,0.98961651,1538.00000000,2218.00000000,0.63719116,0.69792606,-0.06073490,0.91297803,0.91297803,1185.00000000,1541.00000000,0.56033755,0.66515250,-0.10481495,0.84241968,0.84241968,0.90436955
d1,bear,10,ema20_falling,7335,7982,0.69107021,0.69832122,-0.00725101,0.98961651,0.98961651,1538.00000000,2218.00000000,0.63719116,0.69792606,-0.06073490,0.91297803,0.91297803,1185.00000000,1541.00000000,0.56033755,0.66515250,-0.10481495,0.84241968,0.84241968,0.90436955
d1,bull,5,di_cross_up,724,14593,0.58287293,0.61022408,-0.02735115,0.95517851,0.95517851,196.00000000,3560.00000000,0.60204082,0.60196629,0.00007452,1.00012380,1.00012380,139.00000000,2587.00000000,0.51079137,0.56861229,-0.05782093,0.89831221,0.89831221,0.90299434
h4,bull,3,bb_bull,41080,38379,0.15927459,0.16188541,-0.00261082,0.98387242,0.98387242,10353.00000000,9223.00000000,0.15753888,0.17206983,-0.01453095,0.91555203,0.91555203,7678.00000000,6313.00000000,0.10875228,0.13480120,-0.02604892,0.80676045,0.80676045,0.90246331
