timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_continuation_rate,oos_pairs_n_ge5,oos_pair_continuation_mean,oos_pair_continuation_min
d1,100,150,sma_stack_bull+close_near_high+mtf_trend_bull+cross_group_bull,305,29,0.31034483,3,0.18835979,0.14285714
d1,150,200,sma_stack_bull+close_near_high+mtf_trend_bull+cross_group_bull,305,20,0.30000000,1,0.37500000,0.37500000
d1,200,300,sma_stack_bull+close_near_high+mtf_trend_bull+cross_group_bull,305,13,0.15384615,1,0.16666667,0.16666667
d1,50,100,di_strong_bull+volatility+close_near_high+cross_group_return_up,269,34,0.44117647,3,0.25000000,0.16666667
d1,100,150,di_strong_bull+volatility+close_near_high+cross_group_return_up,269,25,0.40000000,2,0.42500000,0.25000000
d1,50,100,nr4+mtf_di_strong_bull+cross_group_bull,291,35,0.37142857,1,0.63636364,0.63636364
d1,100,150,nr4+mtf_di_strong_bull+cross_group_bull,291,19,0.26315789,1,0.00000000,0.00000000
d1,50,100,trend_bull+close_near_high+mtf_di_strong_bull+cross_group_bull,401,39,0.46153846,4,0.42896825,0.20000000
d1,100,150,trend_bull+close_near_high+mtf_di_strong_bull+cross_group_bull,401,26,0.34615385,3,0.26190476,0.16666667
d1,150,200,trend_bull+close_near_high+mtf_di_strong_bull+cross_group_bull,401,19,0.47368421,1,0.42857143,0.42857143
d1,200,300,trend_bull+close_near_high+mtf_di_strong_bull+cross_group_bull,401,14,0.14285714,1,0.20000000,0.20000000
d1,50,100,sma_stack_bull+volatility+mtf_di_strong_bull+cross_group_return_up,225,33,0.39393939,2,0.30000000,0.00000000
d1,100,150,sma_stack_bull+volatility+mtf_di_strong_bull+cross_group_return_up,225,22,0.40909091,1,0.27272727,0.27272727
d1,50,100,trend_bull+volatility+mtf_di_strong_bull+cross_group_return_up,326,40,0.42500000,2,0.38333333,0.16666667
d1,100,150,trend_bull+volatility+mtf_di_strong_bull+cross_group_return_up,326,28,0.35714286,2,0.53636364,0.27272727
d1,50,100,price200_bull+volatility+strong_close_bull+mtf_di_strong_bull,347,37,0.54054054,1,0.55555556,0.55555556
d1,100,150,price200_bull+volatility+strong_close_bull+mtf_di_strong_bull,347,26,0.34615385,1,0.00000000,0.00000000
d1,50,100,adx25+strong_close_bull+mtf_volatility+cross_group_return_up,143,21,0.47619048,2,0.55000000,0.50000000
d1,50,100,trend_bull+strong_close_bull+cross_target_relative_up,439,59,0.30508475,6,0.31364839,0.11111111
d1,100,150,trend_bull+strong_close_bull+cross_target_relative_up,439,29,0.31034483,3,0.27619048,0.00000000
d1,150,200,trend_bull+strong_close_bull+cross_target_relative_up,439,16,0.43750000,1,0.50000000,0.50000000
d1,50,100,price200_bull+volatility+cross_group_return_up,1057,168,0.44642857,10,0.46265254,0.26923077
d1,100,150,price200_bull+volatility+cross_group_return_up,1057,116,0.49137931,7,0.52448042,0.41176471
d1,150,200,price200_bull+volatility+cross_group_return_up,1057,88,0.46590909,7,0.46942641,0.08333333
d1,200,300,price200_bull+volatility+cross_group_return_up,1057,54,0.12962963,5,0.13782051,0.00000000
d1,50,100,trend_bull+volatility+mtf_di_strong_bull+cross_group_bull,278,27,0.44444444,2,0.43333333,0.20000000
d1,50,100,sma_stack_bull+nr4+strong_close_bull,264,35,0.42857143,3,0.54391534,0.14285714
d1,100,150,sma_stack_bull+nr4+strong_close_bull,264,26,0.46153846,2,0.47321429,0.37500000
d1,150,200,sma_stack_bull+nr4+strong_close_bull,264,18,0.33333333,2,0.41666667,0.33333333
d1,200,300,sma_stack_bull+nr4+strong_close_bull,264,14,0.57142857,2,0.53333333,0.40000000
d1,50,100,nr4+close_near_high,1008,128,0.49218750,9,0.48173082,0.22222222
d1,100,150,nr4+close_near_high,1008,91,0.54945055,8,0.49834402,0.20000000
d1,150,200,nr4+close_near_high,1008,64,0.31250000,5,0.28766234,0.14285714
d1,200,300,nr4+close_near_high,1008,35,0.45714286,3,0.49523810,0.28571429
d1,50,100,volatility+close_near_high+mtf_di_strong_bull,647,65,0.47692308,8,0.46840278,0.16666667
d1,100,150,volatility+close_near_high+mtf_di_strong_bull,647,44,0.31818182,4,0.30000000,0.00000000
d1,150,200,volatility+close_near_high+mtf_di_strong_bull,647,23,0.43478261,1,0.60000000,0.60000000
d1,50,100,sma_stack_bull+nr4+cross_group_bull,204,44,0.38636364,4,0.35357143,0.14285714
d1,100,150,sma_stack_bull+nr4+cross_group_bull,204,22,0.31818182,1,0.40000000,0.40000000
d1,150,200,sma_stack_bull+nr4+cross_group_bull,204,14,0.35714286,1,0.40000000,0.40000000
d1,50,100,price200_bull+volatility,2538,375,0.47200000,11,0.40719233,0.00000000
d1,100,150,price200_bull+volatility,2538,268,0.46268657,10,0.41112870,0.20000000
d1,150,200,price200_bull+volatility,2538,199,0.51256281,7,0.48056992,0.11111111
d1,200,300,price200_bull+volatility,2538,140,0.23571429,6,0.19156677,0.00000000
d1,50,100,trend_bull+strong_close_bull+mtf_di_strong_bull+cross_target_relative_up,311,26,0.38461538,1,0.28571429,0.28571429
d1,100,150,trend_bull+strong_close_bull+mtf_di_strong_bull+cross_target_relative_up,311,16,0.31250000,1,0.40000000,0.40000000
d1,150,200,trend_bull+strong_close_bull+mtf_di_strong_bull+cross_target_relative_up,311,8,0.62500000,1,0.40000000,0.40000000
d1,50,100,trend_bull+volatility+nr4+cross_group_return_up,137,24,0.41666667,2,0.37500000,0.25000000
d1,100,150,trend_bull+volatility+nr4+cross_group_return_up,137,15,0.80000000,1,1.00000000,1.00000000
d1,150,200,trend_bull+volatility+nr4+cross_group_return_up,137,14,0.35714286,1,0.14285714,0.14285714
d1,50,100,sma_stack_bull+close_near_high+cross_group_return_up,477,95,0.35789474,6,0.32184343,0.12500000
d1,100,150,sma_stack_bull+close_near_high+cross_group_return_up,477,53,0.43396226,4,0.35574230,0.28571429
d1,150,200,sma_stack_bull+close_near_high+cross_group_return_up,477,35,0.25714286,2,0.23636364,0.20000000
d1,200,300,sma_stack_bull+close_near_high+cross_group_return_up,477,23,0.17391304,2,0.16666667,0.00000000
d1,50,100,sma_stack_bull+volatility+strong_close_bull+mtf_di_strong_bull,175,19,0.47368421,1,0.55555556,0.55555556
d1,100,150,sma_stack_bull+volatility+strong_close_bull+mtf_di_strong_bull,175,14,0.21428571,1,0.00000000,0.00000000
d1,50,100,strong_close_bull+mtf_di_strong_bull+cross_target_relative_up,636,58,0.39655172,5,0.27738095,0.00000000
d1,100,150,strong_close_bull+mtf_di_strong_bull+cross_target_relative_up,636,32,0.34375000,1,0.50000000,0.50000000
d1,150,200,strong_close_bull+mtf_di_strong_bull+cross_target_relative_up,636,15,0.40000000,1,0.50000000,0.50000000
d1,50,100,sma_stack_bull+volatility+mtf_di_strong_bull+cross_group_bull,194,22,0.36363636,2,0.33333333,0.00000000
d1,50,100,sma_stack_bull+nr4+close_near_high,340,54,0.50000000,6,0.50656566,0.16666667
d1,100,150,sma_stack_bull+nr4+close_near_high,340,41,0.51219512,4,0.60961538,0.40000000
d1,150,200,sma_stack_bull+nr4+close_near_high,340,31,0.29032258,3,0.27777778,0.20000000
d1,200,300,sma_stack_bull+nr4+close_near_high,340,22,0.50000000,2,0.47619048,0.28571429
