timeframe,from_target,to_target,condition,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
d1,150,200,price200_bull,520,0.41730769,11,0.43955501,0.23809524
d1,150,200,mtf_trend_bull,448,0.43303571,11,0.47312479,0.30434783
d1,150,200,mtf_adx_rising,467,0.39186296,11,0.40347753,0.21052632
d1,150,200,false_break_up+adx_down3,9,0.33333333,1,0.00000000,0.00000000
d1,150,200,false_break_up,248,0.45564516,11,0.46578148,0.27272727
d1,150,200,bb_expand,304,0.41776316,11,0.44706365,0.23076923
d1,150,200,mtf_di_strong_bull,425,0.31294118,11,0.34385357,0.13888889
d1,150,200,mtf_macd_bull,446,0.32735426,11,0.35063645,0.15384615
d1,200,300,price20_cross_down+di_spread_down3,43,0.97674419,3,0.97916667,0.93750000
d1,200,300,price20_cross_down,70,0.84285714,3,0.77670940,0.53846154
d1,200,300,rsi_down3,195,0.92307692,10,0.95887984,0.72972973
d1,200,300,mtf_trend_bull+adx_down3+di_spread_down3,9,1.00000000,1,1.00000000,1.00000000
d1,200,300,di_spread_down3+macd_accel_down,190,0.90526316,9,0.94176627,0.71428571
d1,200,300,adx_down3+di_spread_down3,23,0.95652174,1,0.93750000,0.93750000
d1,200,300,di_spread_down3,202,0.88613861,9,0.93661222,0.68627451
d1,200,300,adx_down3+macd_accel_down,38,0.97368421,3,0.98245614,0.94736842
d1,200,300,strong_close_bear+adx_down3,16,0.56250000,2,0.41666667,0.00000000
d1,200,300,price20_cross_down+adx_down3,18,0.61111111,2,0.41666667,0.00000000
d1,200,300,strong_close_bear,152,0.86184211,9,0.89435484,0.50000000
d1,200,300,ema20_slope_down3,62,0.69354839,3,0.65602241,0.30000000
d1,200,300,close_near_low,198,0.84848485,10,0.86451336,0.60869565
d1,200,300,macd_accel_down,297,0.78114478,10,0.79412397,0.31250000
d1,200,300,atr_expand,71,0.63380282,6,0.66666667,0.20000000
d1,200,300,adx_down3+structure_lh,64,0.75000000,3,0.74444444,0.40000000
d1,200,300,pullback_bull,365,0.67397260,10,0.69922640,0.30000000
d1,200,300,structure_lh,366,0.67486339,10,0.71870267,0.30000000
d1,200,300,nr4,349,0.66189112,10,0.65618128,0.42857143
d1,200,300,adx_down3,75,0.70666667,4,0.70936455,0.39130435
d1,200,300,range_compression+adx_down3,65,0.66153846,4,0.70020704,0.39130435
d1,200,300,range_compression,325,0.64615385,10,0.66776639,0.50000000
d1,200,300,volatility,210,0.53333333,9,0.50596816,0.25000000
d1,200,300,price200_bull,380,0.60263158,10,0.58995750,0.17647059
d1,200,300,mtf_trend_bull,327,0.60856269,10,0.59398834,0.22222222
d1,200,300,false_break_up,166,0.54216867,10,0.53399471,0.00000000
d1,200,300,mtf_adx_rising,317,0.55835962,10,0.54969867,0.17647059
d1,200,300,mtf_di_strong_bull,306,0.51633987,10,0.53117257,0.28571429
d1,200,300,bb_expand,219,0.57077626,10,0.58069175,0.17647059
d1,200,300,mtf_macd_bull,285,0.48421053,10,0.52352795,0.17647059
