timeframe,horizon_bars,target_pips,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,10,50,sma_stack_bull+bb_expand+channel_breakout_up+close_near_high,170,0.79411765,1.10940350,50,0.64000000,0.87190424,0.50141017,31,0.67741935,0.99175358,0.50141009
d1,10,50,sma_stack_bull+bb_expand+retest_up+cross_group_return_up,134,0.81343284,1.13638734,70,0.65714286,0.89525882,0.54039550,33,0.66666667,0.97601146,0.49607894
d1,10,50,sma_stack_bull+elliott_wave5_bull+cross_group_bull,202,0.81683168,1.14113562,99,0.67676768,0.92199470,0.57952968,40,0.65000000,0.95161117,0.49505881
d1,10,50,sma_stack_bull+elliott_wave5_bull+mtf_rsi60+cross_group_bull,201,0.81592040,1.13986253,98,0.67346939,0.91750128,0.57561481,40,0.65000000,0.95161117,0.49505881
d1,3,50,sma_stack_bull+adx25+volatility+mtf_volatility,428,0.63317757,1.27008654,61,0.44262295,0.91446194,0.32507806,89,0.59550562,1.35053936,0.49164225
d1,10,100,price200_bull+volatility+elliott_wave5_bull+cross_group_return_up,156,0.63461538,1.33357166,26,0.46153846,0.94832520,0.28755854,35,0.65714286,1.50535414,0.49151950
d1,10,50,sma_stack_bull+elliott_wave5_bull+mtf_di_strong_bull+cross_group_bull,187,0.82352941,1.15049252,93,0.65591398,0.89358466,0.55490921,35,0.65714286,0.96206844,0.49151950
d1,10,50,sma_stack_bull+elliott_wave5_bull+mtf_trend_bull+cross_group_bull,199,0.81909548,1.14429820,99,0.67676768,0.92199470,0.57952968,39,0.64102564,0.93847256,0.48418149
d1,10,50,sma_stack_bull+di_spread_up3+elliott_wave5_bull+cross_group_bull,142,0.82394366,1.15107124,76,0.69736842,0.95006013,0.58665798,32,0.65625000,0.96076128,0.48311088
d1,10,50,trend_bull+di_spread_up3+elliott_wave5_bull+cross_group_bull,241,0.80912863,1.13037425,86,0.69767442,0.95047701,0.59387965,41,0.63414634,0.92840114,0.48120701
d1,5,50,sma_stack_bull+elliott_impulse_bull+mtf_rsi60+cross_group_bull,223,0.73542601,1.20773241,109,0.56880734,0.94490949,0.47505894,54,0.61111111,1.08034299,0.47788299
d1,5,50,sma_stack_bull+elliott_impulse_bull+cross_group_bull,228,0.73245614,1.20285523,110,0.57272727,0.95142133,0.47936923,54,0.61111111,1.08034299,0.47788299
d1,10,50,trend_bull+elliott_wave5_bull+mtf_rsi60+cross_group_bull,313,0.80191693,1.12029931,112,0.65178571,0.88796052,0.55985194,54,0.61111111,0.89467717,0.47788299
d1,10,50,trend_bull+elliott_wave5_bull+cross_group_bull,317,0.80126183,1.11938412,114,0.65789474,0.89628315,0.56693722,54,0.61111111,0.89467717,0.47788299
d1,3,50,sma_stack_bull+adx25+atr_expand+mtf_volatility,145,0.68275862,1.36954083,17,0.58823529,1.21529800,0.36005443,45,0.62222222,1.41112960,0.47629934
