pair,timestamp,event,direction,state,reason,touch_candle,reference_level,signal_candle,sma_stack_bull,di_strong_bull,strong_close_bear
eurjpy,2023-04-05T16:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2023-07-28T04:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2023-07-28T12:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2023-07-28T12:00:00+00:00,153.283,,,,
eurjpy,2023-07-28T16:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-07-28T20:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2023-07-31T00:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2023-08-02T08:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2023-08-02T08:00:00+00:00,156.871,,,,
eurjpy,2023-08-03T04:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-08-03T12:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-08-03T16:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2023-09-18T08:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2023-09-18T12:00:00+00:00,REVERSE_CROSS_INVALIDATION,short,SEARCH_TOUCH,reverse cross before touch,,,,,,
eurjpy,2023-09-27T04:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2023-09-28T08:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2023-09-28T08:00:00+00:00,156.852,,,,
eurjpy,2023-09-28T12:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-09-28T16:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2023-09-29T12:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2023-10-02T08:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2023-10-02T08:00:00+00:00,158.411,,,,
eurjpy,2023-10-02T12:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-10-02T16:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2023-10-02T20:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2023-10-05T08:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2023-10-05T08:00:00+00:00,156.4,,,,
eurjpy,2023-10-05T12:00:00+00:00,TRIGGERED,short,ARMED,entry conditions satisfied,,156.4,2023-10-05T12:00:00+00:00,False,False,True
eurjpy,2023-10-11T12:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2023-10-12T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2023-10-12T12:00:00+00:00,158.448,,,,
eurjpy,2023-10-13T08:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-10-13T12:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2023-12-02T00:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2023-12-11T00:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2023-12-11T00:00:00+00:00,156.001,,,,
eurjpy,2023-12-11T04:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2023-12-11T08:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2024-01-05T08:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2024-01-08T08:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2024-01-08T08:00:00+00:00,158.163,,,,
eurjpy,2024-01-09T00:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2024-01-09T08:00:00+00:00,BREACH_TOLERATED,long,ARMED,one close through touch extreme,,,,,,
eurjpy,2024-01-09T12:00:00+00:00,INVALIDATED,long,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2024-03-11T08:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2024-03-12T00:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2024-03-12T00:00:00+00:00,160.275,,,,
eurjpy,2024-03-12T12:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2024-03-12T16:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2024-03-14T04:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
eurjpy,2024-03-14T12:00:00+00:00,ARMED,long,ARMED,first EMA20 touch,2024-03-14T12:00:00+00:00,161.713,,,,
eurjpy,2024-03-20T08:00:00+00:00,TRIGGERED,long,ARMED,entry conditions satisfied,,161.713,2024-03-20T08:00:00+00:00,True,True,False
eurjpy,2024-06-15T08:00:00+00:00,DC,short,SEARCH_TOUCH,new short search,,,,,,
eurjpy,2024-06-16T20:00:00+00:00,ARMED,short,ARMED,first EMA20 touch,2024-06-16T20:00:00+00:00,168.212,,,,
eurjpy,2024-06-17T08:00:00+00:00,BREACH_TOLERATED,short,ARMED,one close through touch extreme,,,,,,
eurjpy,2024-06-17T12:00:00+00:00,INVALIDATED,short,ARMED,two consecutive closes through touch extreme,,,,,,
eurjpy,2024-06-17T20:00:00+00:00,GC,long,SEARCH_TOUCH,new long search,,,,,,
