timeframe,direction,horizon_bars,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,validation_wilson95_lower,oos_samples,oos_hit_rate,oos_lift,oos_wilson95_lower,all_samples,all_hit_rate,all_lift,all_wilson95_lower
h4,bear,1,price200_bear+atr_expand,2286,0.07961505,1.59710480,486,0.06995885,1.34266118,0.05049219,365,0.09863014,3.10097584,0.07209580,3137,0.08033153,1.67334153,0.07132527
h4,bear,1,ema200_falling+atr_expand,2286,0.07961505,1.59710480,486,0.06995885,1.34266118,0.05049219,365,0.09863014,3.10097584,0.07209580,3137,0.08033153,1.67334153,0.07132527
h4,bear,1,rsi_cross45_down+price200_cross_down,440,0.07954545,1.59570873,115,0.11304348,2.16954817,0.06726408,67,0.14925373,4.69260439,0.08314273,622,0.09324759,1.94238886,0.07282653
h4,bear,1,rsi40+rsi_cross45_down,861,0.07897793,1.58432405,190,0.08947368,1.71719298,0.05661314,139,0.08633094,2.71428340,0.05007396,1190,0.08151261,1.69794392,0.06727974
h4,bear,1,rsi_cross45_down+di_spread_down3,2003,0.07888168,1.58239314,506,0.05335968,1.02408742,0.03692806,347,0.07780980,2.44637503,0.05402404,2856,0.07422969,1.54623759,0.06517694
h4,bear,1,adx_rising+di_cross_down,368,0.07880435,1.58084188,111,0.04504505,0.86451157,0.01939176,77,0.07792208,2.44990515,0.03620096,556,0.07194245,1.49859324,0.05327502
h4,bear,1,volatility+bb_lower,6181,0.07878984,1.58055084,1287,0.10256410,1.96842634,0.08715414,956,0.07845188,2.46656246,0.06304535,8424,0.08238367,1.71608850,0.07670089
h4,bear,1,momentum_bear+rsi_cross50_down,1023,0.07820137,1.56874591,242,0.04545455,0.87237077,0.02556783,172,0.08720930,2.74189966,0.05356152,1437,0.07376479,1.53655343,0.06135680
h4,bear,1,bb_lower+di_cross_down,926,0.07775378,1.55976712,243,0.06584362,1.26368111,0.04093204,115,0.06086957,1.91376649,0.02979512,1284,0.07398754,1.54119343,0.06090624
h4,bear,1,adx25+volatility,13559,0.07743934,1.55345934,2791,0.07810820,1.49906492,0.06872270,2339,0.05643437,1.77432207,0.04778937,18689,0.07491038,1.56041652,0.07122297
