timeframe,direction,horizon_bars,conditions,discovery_samples,discovery_hit_rate,discovery_lift,validation_samples,validation_hit_rate,validation_lift,validation_wilson95_lower,oos_samples,oos_hit_rate,oos_lift,oos_wilson95_lower
h4,bull,1,price200_cross_up+mtf_trend_bull+range_expand,380,0.08421053,1.68929165,84,0.08333333,1.59934641,0.04095255,57,0.01754386,0.55158683,0.00310366
h4,bull,1,adx_up3+mtf_trend_bull+structure_breakout20_up,820,0.08414634,1.68800408,188,0.07446809,1.42920317,0.04487442,134,0.05970149,1.87704176,0.03055903
h4,bull,1,atr_expand+mtf_di_strong_bull+range_expand,1452,0.08402204,1.68551052,249,0.07630522,1.46446177,0.04939142,208,0.10576923,3.32543215,0.07089160
h4,bull,1,mtf_volatility+structure_hh,5538,0.08396533,1.68437293,1097,0.09206928,1.76700806,0.07635429,980,0.06122449,1.92492548,0.04785947
h4,bull,1,body_bull+mtf_volatility,3533,0.08378149,1.68068501,664,0.09337349,1.79203874,0.07352212,668,0.05089820,1.60026240,0.03664920
h4,bull,1,atr_expand+mtf_price200_bull+impulse_bull,955,0.08376963,1.68044719,147,0.06122449,1.17503001,0.03254150,150,0.05333333,1.67682397,0.02726954
h4,bull,1,bb_expand+mtf_trend_bull+structure_breakout20_up,1352,0.08357988,1.67664070,334,0.07185629,1.37907714,0.04875958,305,0.02622951,0.82466753,0.01334958
h4,bull,1,di_strong_bull+price200_cross_up,683,0.08345534,1.67414243,145,0.07586207,1.45595673,0.04288573,99,0.05050505,1.58790149,0.02176323
h4,bull,1,atr_expand+mtf_adx_rising+impulse_bull,828,0.08333333,1.67169486,145,0.08275862,1.58831643,0.04797375,105,0.07619048,2.39546281,0.03911065
h4,bull,1,breakout20_up+mtf_adx25,1818,0.08305831,1.66617771,335,0.06268657,1.20309043,0.04136304,370,0.04054054,1.27461282,0.02471959
h4,bull,1,mtf_adx25+structure_breakout20_up,1818,0.08305831,1.66617771,335,0.06268657,1.20309043,0.04136304,370,0.04054054,1.27461282,0.02471959
h4,bull,1,price20_cross_up+mtf_volatility,1290,0.08294574,1.66391953,245,0.10204082,1.95838335,0.07007593,221,0.07239819,2.27623163,0.04505190
h4,bull,1,atr_expand+mtf_di_strong_bull+structure_hh,736,0.08288043,1.66260956,129,0.13178295,2.52919897,0.08393284,83,0.04819277,1.51520238,0.01889862
h4,bull,1,price200_cross_up+mtf_trend_bull+structure_hh,290,0.08275862,1.66016593,72,0.09722222,1.86590414,0.04789632,45,0.02222222,0.69867665,0.00393360
h4,bull,1,atr_expand+mtf_di_strong_bull+structure_breakout20_up,375,0.08266667,1.65832130,75,0.16000000,3.07074510,0.09396514,48,0.08333333,2.62003745,0.03288376
h4,bull,1,bb_expand+mtf_trend_bull+impulse_bull,1730,0.08265896,1.65816669,418,0.06220096,1.19377052,0.04279780,394,0.03299492,1.03737524,0.01938205
h4,bull,1,breakout20_up+mtf_price200_bull+impulse_bull,2445,0.08261759,1.65733674,564,0.07092199,1.36114588,0.05251305,535,0.03738318,1.17534390,0.02432815
h4,bull,1,atr_expand+mtf_trend_bull+structure_breakout20_up,339,0.08259587,1.65690110,66,0.13636364,2.61711230,0.07343320,34,0.08823529,2.77415730,0.03046594
