h,lag,feature,n,wins,hit,rank_score
6,6,trend_bear,345,164.0,0.4753623188405797,2.779176693070918
6,2,atr_expand,194,102.0,0.5257731958762887,2.772401829760321
6,5,trend_bear,349,165.0,0.47277936962750716,2.769509944096764
6,4,breakout_down20,126,72.0,0.5714285714285714,2.768106906547766
6,2,rsi_down1,287,140.0,0.4878048780487805,2.7624197464077787
6,2,elliott_pullback_bear,214,110.0,0.514018691588785,2.760608332215153
6,6,adx_up3,227,115.0,0.5066079295154186,2.7505495477081974
6,1,elliott_pullback_bear,214,109.0,0.5093457943925234,2.7355118928313793
6,1,breakout_down20,146,80.0,0.547945205479452,2.734483609193828
6,4,retest_down,124,70.0,0.5645161290322581,2.7256609807351704
6,5,breakout_down20,148,80.0,0.5405405405405406,2.7048358410515996
6,5,retest_down,148,80.0,0.5405405405405406,2.7048358410515996
6,3,elliott_pullback_bear,240,118.0,0.49166666666666664,2.696691825632905
6,1,retest_down,144,78.0,0.5416666666666666,2.6957307771444774
6,6,breakout_down20,170,88.0,0.5176470588235295,2.6615670174837303
6,6,retest_down,170,88.0,0.5176470588235295,2.6615670174837303
6,5,elliott_pullback_bear,240,116.0,0.48333333333333334,2.6509851845204833
6,6,elliott_pullback_bear,237,114.0,0.4810126582278481,2.6322314632850135
6,1,rsi_down1,283,128.0,0.45229681978798586,2.5550130829845736
6,0,elliott_pullback_bear,242,112.0,0.4628099173553719,2.542243312620419
6,3,atr_expand,156,78.0,0.5,2.528122902674154
6,4,elliott_pullback_bear,246,111.0,0.45121951219512196,2.4859435177467706
6,3,breakout_down20,130,66.0,0.5076923076923077,2.4751001794713536
6,3,retest_down,130,66.0,0.5076923076923077,2.4751001794713536
6,2,breakout_down20,154,74.0,0.4805194805194805,2.4234640172209367
6,0,breakout_down20,40,26.0,0.65,2.4138218433578
6,0,retest_down,40,26.0,0.65,2.4138218433578
6,2,retest_down,152,72.0,0.47368421052631576,2.3828390153964167
6,1,range_tight,72,37.0,0.5138888888888888,2.2048194350345898
6,3,price20_cross_down,63,33.0,0.5238095238095238,2.1784625674741136
6,5,price20_cross_down,59,30.0,0.5084745762711864,2.0818701163841187
6,1,price20_cross_down,70,34.0,0.4857142857142857,2.070444511705782
6,0,rsi_down1,42,23.0,0.5476190476190477,2.0597048252607606
6,3,di_cross_down,43,23.0,0.5348837209302325,2.0241014320958137
6,6,price20_cross_down,89,40.0,0.449438202247191,2.0223863686877595
6,0,range_tight,82,37.0,0.45121951219512196,1.9938671035179774
6,1,price200_cross_down,37,20.0,0.5405405405405406,1.9662627890412896
6,2,range_tight,81,36.0,0.4444444444444444,1.9585418876730014
6,5,di_cross_down,51,25.0,0.49019607843137253,1.9368841757752095
6,2,price20_cross_down,74,32.0,0.43243243243243246,1.8670218869346207
6,4,di_cross_down,51,24.0,0.47058823529411764,1.8594088087442011
6,6,price200_cross_down,35,18.0,0.5142857142857142,1.842952596920285
6,6,di_cross_down,55,25.0,0.45454545454545453,1.8297053139705226
6,4,price200_cross_down,26,14.0,0.5384615384615384,1.7746813893869464
6,6,range_tight,62,26.0,0.41935483870967744,1.7374435949383846
6,0,price20_cross_down,39,18.0,0.46153846153846156,1.702559748052586
6,4,range_tight,64,26.0,0.40625,1.6958448283951024
6,5,price200_cross_down,20,11.0,0.55,1.6744873407478829
6,4,price20_cross_down,72,28.0,0.3888888888888889,1.668512004891041
6,5,range_tight,66,26.0,0.3939393939393939,1.6563940621843198
