timeframe,period,from_target,to_target,condition,samples,exit_pips_mean,hold_pips_mean,opportunity_cost_pips_mean,exit_positive_rate,hold_minus_exit_mean,bars_after_target_mean,post_exit_mae_mean,post_exit_mfe_mean
d1,validation,150,200,adx_down3+di_spread_down3,57,-153.45964912,-136.23157895,17.22807018,0.00000000,17.22807018,3.57894737,-66.88421053,35.64035088
d1,oos,150,200,adx_down3+di_spread_down3,29,-93.76896552,-38.06206897,55.70689655,0.17241379,55.70689655,3.86206897,-45.73103448,65.93103448
d1,discovery,150,200,adx_down3,789,-45.80608365,-45.42813688,0.37794677,0.35234474,0.37794677,2.16476553,-85.56197719,77.60583016
d1,validation,150,200,adx_down3,142,-56.70352113,-61.14788732,-4.44436620,0.19014085,-4.44436620,2.21126761,-93.88521127,64.61408451
d1,oos,150,200,adx_down3,101,-10.60198020,-4.00594059,6.59603960,0.47524752,6.59603960,2.11881188,-69.68118812,63.59900990
d1,discovery,200,300,price20_cross_down+di_spread_down3,309,-214.83365696,-160.22200647,54.61165049,0.01618123,54.61165049,3.50809061,-45.44304207,53.69482201
d1,validation,200,300,price20_cross_down+di_spread_down3,111,-182.44504505,-113.14324324,69.30180180,0.00000000,69.30180180,3.50450450,-40.85045045,65.33333333
d1,oos,200,300,price20_cross_down+di_spread_down3,64,-188.91093750,-166.64062500,22.27031250,0.00000000,22.27031250,3.62500000,-101.29218750,44.15000000
d1,discovery,200,300,price20_cross_down,565,-177.78247788,-136.18424779,41.59823009,0.02654867,41.59823009,2.77522124,-74.20336283,75.94176991
d1,validation,200,300,price20_cross_down,191,-160.40209424,-117.02513089,43.37696335,0.03664921,43.37696335,3.16230366,-71.66492147,64.66492147
d1,oos,200,300,price20_cross_down,89,-150.71685393,-110.91011236,39.80674157,0.02247191,39.80674157,3.04494382,-90.50000000,78.67415730
d1,discovery,200,300,adx_down3+di_spread_down3,245,-167.72000000,-152.22979592,15.49020408,0.06938776,15.49020408,3.78775510,-66.99428571,57.17224490
d1,validation,200,300,adx_down3+di_spread_down3,53,-183.57169811,-134.13396226,49.43773585,0.00000000,49.43773585,3.75471698,-25.37358491,58.03018868
d1,oos,200,300,adx_down3+di_spread_down3,30,-108.12666667,-109.51000000,-1.38333333,0.16666667,-1.38333333,3.86666667,-89.25000000,67.90333333
d1,discovery,200,300,adx_down3,544,-62.06176471,-62.66691176,-0.60514706,0.32169118,-0.60514706,2.11948529,-105.35147059,88.59742647
d1,validation,200,300,adx_down3,107,-66.59158879,-68.01869159,-1.42710280,0.24299065,-1.42710280,2.23364486,-85.42803738,72.51588785
d1,oos,200,300,adx_down3,101,-36.11386139,-28.38316832,7.73069307,0.35643564,7.73069307,1.92079208,-69.03861386,69.34257426
