timeframe,horizon_bars,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,1,price200_bull+superbb_bull+retest_up+cross_group_return_up,180,34,2.45181913,3.19869281,2,1,0.08333333,0.00000000
h4,1,sma_stack_bull+horizontal_break_up+impulse_bull+mtf_volatility,377,61,2.44768054,1.21854964,6,1,0.03333333,0.00000000
h4,1,adx25+volatility+impulse_bull+mtf_volatility,1082,188,2.44728711,2.54481638,11,7,0.10495452,0.00000000
h4,1,superbb_bull+impulse_bull+mtf_trend_bull,164,22,2.44638272,2.02022704,1,0,0.00000000,0.00000000
h4,1,adx25+atr_expand+mtf_trend_bull,1242,185,2.43889781,1.78531692,10,6,0.08423199,0.00000000
h4,1,adx25+impulse_bull+elliott_wave5_bull+mtf_volatility,502,87,2.43761083,3.03034056,9,4,0.12213404,0.00000000
h4,1,rsi_cross55_up+breakout20_up+impulse_bull+mtf_adx25,173,44,2.43506997,0.54834734,3,1,0.06666667,0.00000000
h4,1,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_target_relative_up,256,33,2.42918159,3.19869281,2,0,0.00000000,0.00000000
h4,1,price200_bull+superbb_bull+impulse_bull+cross_group_return_up,190,34,2.42835674,3.41193900,2,1,0.08333333,0.00000000
h4,1,price200_bull+rsi_up1+superbb_bull+mtf_trend_bull,157,21,2.42768425,3.83843137,1,0,0.00000000,0.00000000
h4,1,price200_bull+pin_bull+mtf_volatility,232,23,2.42107531,3.05329768,2,1,0.06250000,0.00000000
h4,1,atr_expand+mtf_volatility+cross_target_relative_up,514,70,2.41972952,3.05329768,9,5,0.18903319,0.00000000
h4,3,adx25+volatility+pin_bull+mtf_volatility,159,28,3.40840123,2.11592401,4,4,0.41190476,0.28571429
h4,3,volatility+pin_bull+mtf_volatility,246,36,3.11457353,2.37396353,4,4,0.40476190,0.28571429
h4,3,adx25+volatility+pin_bull+mtf_adx25,163,28,3.09546572,1.52082039,3,3,0.27777778,0.20000000
h4,3,adx25+pin_bull+mtf_volatility,254,48,3.04100093,2.40501828,4,4,0.42667055,0.30769231
h4,3,adx25+volatility+pin_bull,268,57,2.99835810,1.97064050,4,4,0.25795455,0.18181818
h4,3,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,36,2.86275695,2.45670985,4,4,0.34226190,0.25000000
h4,3,pin_bull+mtf_volatility,488,86,2.69334023,2.63060823,4,4,0.39346936,0.32000000
h4,3,adx25+pin_bull+mtf_adx25,310,67,2.67250503,2.02776051,4,3,0.19824017,0.00000000
h4,3,ichimoku_cloud_bull+volatility+pin_bull,243,59,2.64033806,2.02776051,4,4,0.27385290,0.16666667
h4,3,stoch_cross_up+pin_bull,231,42,2.61570245,2.71407946,4,4,0.31193182,0.26666667
h4,3,volatility+pin_bull+mtf_adx25,250,35,2.59132518,1.95534050,3,3,0.34444444,0.20000000
h4,3,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,52,2.57290857,1.97295618,4,4,0.26396557,0.18181818
h4,3,volatility+pin_bull,479,82,2.56188303,2.04480052,4,4,0.28790970,0.23076923
h4,3,volatility+pin_bull+mtf_trend_bull,299,69,2.52082540,1.57326247,4,4,0.31224916,0.25000000
h4,3,pin_bull+mtf_volatility+cross_group_bull,211,47,2.47985002,2.29812858,4,4,0.37424242,0.30000000
h4,3,adx25+pin_bull+mtf_trend_bull+cross_group_bull,151,47,2.47515778,1.63209993,4,4,0.20512821,0.15384615
h4,3,adx25+pin_bull+mtf_trend_bull+cross_group_return_up,180,52,2.45705245,1.73808044,4,3,0.18611111,0.11111111
h4,3,pin_bull+mtf_volatility+cross_group_return_up,250,53,2.41690906,2.48297206,4,4,0.35544490,0.30769231
h4,3,adx_up3+pin_bull+mtf_trend_bull,160,55,2.41379449,2.18374209,4,4,0.31885027,0.25000000
h4,3,ichimoku_cloud_bull+adx25+pin_bull+mtf_trend_bull,225,60,2.40860353,1.75739245,4,4,0.20238095,0.14285714
h4,3,volatility+pin_bull+cross_group_bull,202,40,2.40531421,2.13448475,4,4,0.33541667,0.30000000
h4,3,adx25+pin_bull,588,130,2.37300841,2.00054225,4,4,0.23387800,0.20000000
h4,3,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_target_relative_up,161,30,2.36011162,1.28069085,3,3,0.29047619,0.14285714
h4,3,sma_stack_bull+adx25+atr_expand+mtf_volatility,204,15,2.35119767,2.30178220,1,1,0.20000000,0.20000000
h4,3,trend_bull+pin_bull+mtf_volatility,159,17,2.35062154,2.38041452,1,1,0.40000000,0.40000000
h4,3,ichimoku_cloud_bull+adx25+pin_bull,306,71,2.34101932,2.02776051,4,3,0.21415441,0.11764706
h4,3,adx25+pin_bull+mtf_trend_bull,340,94,2.32676964,1.62220841,4,4,0.21062565,0.20000000
h4,3,adx_up3+pin_bull,258,61,2.31782216,2.33972367,4,4,0.32446312,0.22222222
h4,3,volatility+pin_bull+cross_group_return_up,235,43,2.27960276,2.19397039,4,4,0.32294372,0.27272727
h4,3,sma_stack_bull+volatility+pin_bull,157,19,2.26153747,1.01388026,2,2,0.32222222,0.20000000
h4,3,pin_bull+mtf_adx25+cross_target_relative_up,281,61,2.26111388,1.47473492,4,3,0.25110476,0.11111111
h4,3,pin_bull+mtf_adx25,585,117,2.24675219,1.79378815,4,3,0.24548368,0.09090909
h4,3,pin_bull+mtf_volatility+cross_target_relative_up,234,44,2.23610408,2.49849063,4,4,0.43086081,0.33333333
h4,3,volatility+pin_bull+cross_target_relative_up,204,46,2.22905753,2.28123058,4,4,0.31089744,0.16666667
h4,3,adx_up3+atr_expand+mtf_volatility,431,87,2.22572772,2.05758052,10,8,0.26414835,0.00000000
h4,3,trend_bull+volatility+pin_bull,178,22,2.20469812,1.52082039,2,2,0.41666667,0.33333333
h4,3,ichimoku_cloud_bull+adx25+pin_bull+cross_group_return_up,164,43,2.20299104,2.88955873,4,2,0.19734848,0.08333333
h4,3,adx25+pin_bull+cross_group_return_up,284,75,2.19336164,2.32125217,4,3,0.19076797,0.11111111
h4,3,ichimoku_cloud_bull+pin_bull+mtf_adx25,330,57,2.18963958,1.65907678,4,2,0.21250000,0.00000000
h4,3,adx25+pin_bull+cross_group_bull,237,66,2.15523232,2.31336059,4,4,0.20954132,0.12500000
h4,3,adx25+pin_bull+cross_target_relative_up,262,63,2.13978334,1.91665035,4,4,0.23069853,0.12500000
h4,3,trend_bull+volatility+pin_bull+mtf_trend_bull,155,22,2.12996642,1.44077721,2,2,0.41666667,0.33333333
h4,3,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,185,23,2.12127711,1.67814663,3,2,0.16666667,0.00000000
h4,3,ichimoku_cloud_bull+pin_bull,793,172,2.08947430,1.94875686,4,3,0.19933539,0.11428571
h4,3,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_group_return_up,161,32,2.08927914,2.02776051,3,3,0.32929293,0.20000000
h4,3,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,53,2.07638236,2.60712066,5,4,0.33653846,0.00000000
h4,3,trend_bull+adx25+atr_expand+mtf_volatility,222,19,2.07638236,2.02776051,1,1,0.28571429,0.28571429
h4,3,adx_up3+atr_expand+mtf_volatility+cross_target_relative_up,187,33,2.06527871,2.76512797,3,2,0.24761905,0.00000000
h4,3,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,19,2.05106062,1.85143351,1,1,0.16666667,0.16666667
h4,3,trend_bull+atr_expand+mtf_volatility+cross_group_bull,155,19,2.04959033,2.25306724,2,1,0.16666667,0.00000000
h4,3,adx25+atr_expand+mtf_volatility,697,83,2.02871791,2.17260055,8,6,0.26856012,0.00000000
h4,3,pin_bull+mtf_adx25+cross_group_return_up,281,69,2.01726827,1.84341865,4,3,0.22405226,0.07692308
h4,3,pin_bull+mtf_adx25+cross_group_bull,237,62,1.99753239,1.82498446,4,3,0.23581011,0.08333333
h4,3,ichimoku_cloud_bull+pin_bull+cross_target_relative_up,362,80,1.99608028,2.22691556,4,3,0.21317079,0.05882353
h4,3,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_volatility,201,45,1.98341001,2.65168683,5,5,0.35168831,0.20000000
h4,3,trend_bull+adx25+pin_bull+mtf_trend_bull,198,29,1.98200134,1.21665631,4,3,0.11309524,0.00000000
h4,3,sma_stack_bull+adx25+pin_bull,208,26,1.97655628,1.16986183,4,2,0.07738095,0.00000000
h4,3,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,35,1.96709907,2.02776051,4,3,0.21071429,0.00000000
h4,3,sma_stack_bull+adx25+pin_bull+mtf_trend_bull,175,24,1.95773194,0.93588947,4,2,0.07738095,0.00000000
