timeframe,period,from_target,to_target,condition,samples,exit_precision,baseline_exit_precision,lift,wilson95_lower,exit_price_from_target_pips_mean,future_mfe_from_exit_pips_mean,future_mae_from_exit_pips_mean,bars_after_target_mean
d1,discovery,150,200,price20_cross_down+di_spread_down3,325,0.98461538,0.54684950,1.80052351,0.96449724,-176.53046154,57.21323077,-50.15476923,3.12923077
d1,validation,150,200,price20_cross_down+di_spread_down3,114,0.89473684,0.57772848,1.54871513,0.82498488,-171.17894737,90.35877193,-53.57368421,3.09649123
d1,oos,150,200,price20_cross_down+di_spread_down3,50,0.92000000,0.51495554,1.78656201,0.81161753,-169.60800000,60.92400000,-138.14400000,2.94000000
d1,discovery,150,200,adx_down3+di_spread_down3,195,0.92307692,0.54684950,1.68799079,0.87697474,-168.63948718,62.96256410,-84.52666667,3.24102564
d1,validation,150,200,adx_down3+di_spread_down3,42,0.97619048,0.57772848,1.68970460,0.87678798,-142.45000000,48.36904762,-90.77142857,3.07142857
d1,oos,150,200,adx_down3+di_spread_down3,23,0.82608696,0.51495554,1.60419084,0.62862352,-115.33043478,83.13043478,-57.66086957,3.56521739
d1,discovery,150,200,mtf_trend_bull+adx_down3+di_spread_down3,72,0.91666667,0.54684950,1.67626864,0.82987645,-115.94722222,65.56805556,-88.54166667,2.87500000
d1,validation,150,200,mtf_trend_bull+adx_down3+di_spread_down3,16,0.93750000,0.57772848,1.62273460,0.71671262,-90.91250000,33.07500000,-100.87500000,2.87500000
d1,oos,150,200,mtf_trend_bull+adx_down3+di_spread_down3,7,1.00000000,0.51495554,1.94191523,0.64566956,-64.37142857,29.77142857,-106.18571429,3.14285714
d1,discovery,150,200,price20_cross_down,697,0.89239598,0.54684950,1.63188589,0.86720258,-140.02725968,73.60143472,-72.75982783,2.37876614
d1,validation,150,200,price20_cross_down,207,0.83091787,0.57772848,1.43824980,0.77393680,-144.09806763,93.89323671,-78.24202899,2.61352657
d1,oos,150,200,price20_cross_down,87,0.82758621,0.51495554,1.60710226,0.73482973,-131.51379310,74.72068966,-106.88160920,2.55172414
d1,discovery,150,200,rsi_down3,1654,0.88029021,0.54684950,1.60974858,0.86375796,-102.87049577,63.96541717,-67.16499395,2.68500605
d1,validation,150,200,rsi_down3,417,0.87529976,0.57772848,1.51507116,0.84012401,-109.83621103,70.45371703,-66.87338129,2.69064748
d1,oos,150,200,rsi_down3,238,0.87815126,0.51495554,1.70529530,0.83048271,-93.86470588,59.71176471,-72.90126050,2.72268908
d1,discovery,150,200,di_spread_down3+macd_accel_down,1471,0.87083617,0.54684950,1.59246038,0.85272657,-106.13011557,59.88531611,-61.03759347,2.97756628
d1,validation,150,200,di_spread_down3+macd_accel_down,392,0.86479592,0.57772848,1.49688988,0.82738502,-116.74515306,73.06709184,-57.68137755,2.97193878
d1,oos,150,200,di_spread_down3+macd_accel_down,242,0.83884298,0.51495554,1.62896195,0.78728375,-88.39669421,57.07148760,-63.22231405,2.97933884
