timeframe,period,from_target,to_target,conditions,samples_after_from,continuation_rate,unconditional_to_rate,continuation_lift,wilson95_lower
h4,validation,150,200,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,3,0.00000000,7287.60933333,0.00000000,0.00000000
h4,validation,200,300,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,2,0.50000000,7258.32947977,0.00006889,0.09453121
h4,oos,50,100,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,6,0.33333333,8766.86496956,0.00003802,0.09677141
h4,oos,100,150,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,4,0.50000000,8737.06716418,0.00005723,0.15003899
h4,oos,150,200,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,3,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+breakout20_up+mtf_trend_bull,1,0.00000000,8875.16666667,0.00000000,0.00000000
h4,discovery,50,100,adx_up3+atr_expand+retest_up+mtf_trend_bull,67,0.44776119,3459.27368120,0.00012944,0.33476393
h4,discovery,100,150,adx_up3+atr_expand+retest_up+mtf_trend_bull,38,0.39473684,3623.64245524,0.00010893,0.25598076
h4,discovery,150,200,adx_up3+atr_expand+retest_up+mtf_trend_bull,19,0.36842105,3751.26678899,0.00009821,0.19149513
h4,discovery,200,300,adx_up3+atr_expand+retest_up+mtf_trend_bull,9,0.11111111,3934.45852895,0.00002824,0.01989089
h4,validation,50,100,adx_up3+atr_expand+retest_up+mtf_trend_bull,12,0.41666667,7347.28747795,0.00005671,0.19326031
h4,validation,100,150,adx_up3+atr_expand+retest_up+mtf_trend_bull,6,0.00000000,7312.54635108,0.00000000,0.00000000
h4,validation,150,200,adx_up3+atr_expand+retest_up+mtf_trend_bull,3,0.00000000,7287.60933333,0.00000000,0.00000000
h4,validation,200,300,adx_up3+atr_expand+retest_up+mtf_trend_bull,2,0.50000000,7258.32947977,0.00006889,0.09453121
h4,oos,50,100,adx_up3+atr_expand+retest_up+mtf_trend_bull,5,0.40000000,8766.86496956,0.00004563,0.11762077
h4,oos,100,150,adx_up3+atr_expand+retest_up+mtf_trend_bull,3,0.33333333,8737.06716418,0.00003815,0.06149194
h4,oos,150,200,adx_up3+atr_expand+retest_up+mtf_trend_bull,2,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,adx_up3+atr_expand+retest_up+mtf_trend_bull,0,,8875.16666667,,
h4,discovery,50,100,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,89,0.48314607,3459.27368120,0.00013967,0.38219270
h4,discovery,100,150,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,50,0.40000000,3623.64245524,0.00011039,0.27608390
h4,discovery,150,200,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,30,0.30000000,3751.26678899,0.00007997,0.16664748
h4,discovery,200,300,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,18,0.05555556,3934.45852895,0.00001412,0.00987519
h4,validation,50,100,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,16,0.37500000,7347.28747795,0.00005104,0.18481233
h4,validation,100,150,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,6,0.00000000,7312.54635108,0.00000000,0.00000000
h4,validation,150,200,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,3,0.00000000,7287.60933333,0.00000000,0.00000000
h4,validation,200,300,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,2,0.50000000,7258.32947977,0.00006889,0.09453121
h4,oos,50,100,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,9,0.11111111,8766.86496956,0.00001267,0.01989089
h4,oos,100,150,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,2,0.00000000,8737.06716418,0.00000000,0.00000000
h4,oos,150,200,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,1,0.00000000,8761.62068966,0.00000000,0.00000000
h4,oos,200,300,sma_stack_bull+atr_expand+breakout20_up+cross_group_bull,0,,8875.16666667,,
h4,discovery,50,100,sma_stack_bull+atr_expand+retest_up+cross_group_bull,89,0.48314607,3459.27368120,0.00013967,0.38219270
