timeframe,direction,horizon_bars,conditions,samples,base_rate,hit50_rate,rate_diff,lift
h4,bull,1,momentum_bull+body_bull,8813,0.04800665,0.05094746,0.00294081,1.06125840
h4,bull,1,momentum_bull+rsi_up1,10422,0.04800665,0.05517175,0.00716510,1.14925220
h4,bull,1,momentum_bull+rsi_up3,13432,0.04800665,0.04764741,-0.00035924,0.99251678
h4,bull,1,momentum_bull+rsi_cross50_up,1275,0.04800665,0.05725490,0.00924825,1.19264514
h4,bull,1,momentum_bull+rsi_cross55_up,5850,0.04800665,0.05555556,0.00754890,1.15724700
h4,bull,1,momentum_bull+macd_cross_up,1899,0.04800665,0.04318062,-0.00482603,0.89947160
h4,bull,1,momentum_bull+macd_accel_up,21197,0.04800665,0.04576119,-0.00224546,0.95322605
h4,bull,1,momentum_bull+adx_up3,6682,0.04800665,0.04115534,-0.00685131,0.85728414
h4,bull,1,momentum_bull+adx_cross25_up,829,0.04800665,0.05066345,0.00265680,1.05534226
h4,bull,1,momentum_bull+di_cross_up,2481,0.04800665,0.05280129,0.00479464,1.09987442
h4,bull,1,momentum_bull+di_spread_up3,13356,0.04800665,0.04994010,0.00193345,1.04027459
h4,bull,1,momentum_bull+ema20_slope_up3,39685,0.04800665,0.04371929,-0.00428736,0.91069230
h4,bull,1,momentum_bull+price20_cross_up,1590,0.04800665,0.04905660,0.00104995,1.02187094
h4,bull,1,momentum_bull+price200_cross_up,1134,0.04800665,0.06790123,0.01989458,1.41441300
h4,bull,1,momentum_bull+breakout20_up,5789,0.04800665,0.05821385,0.01020720,1.21262054
h4,bull,1,momentum_bull+atr_expand,2106,0.04800665,0.04938272,0.00137606,1.02866400
h4,bull,1,momentum_bull+bb_expand,11276,0.04800665,0.04638170,-0.00162496,0.96615141
h4,bull,1,momentum_bull+body_expand,11688,0.04800665,0.04962355,0.00161689,1.03368059
h4,bull,1,rsi60+macd_bull,22842,0.04800665,0.04513615,-0.00287050,0.94020619
h4,bull,1,rsi60+macd_rising,15204,0.04800665,0.04847409,0.00046743,1.00973683
h4,bull,1,rsi60+adx25,14950,0.04800665,0.04528428,-0.00272237,0.94329177
h4,bull,1,rsi60+adx_rising,19379,0.04800665,0.04623562,-0.00177104,0.96310850
h4,bull,1,rsi60+di_bull,26841,0.04800665,0.04508029,-0.00292637,0.93904250
h4,bull,1,rsi60+di_strong_bull,24747,0.04800665,0.04606619,-0.00194046,0.95957928
h4,bull,1,rsi60+volatility,8029,0.04800665,0.05268402,0.00467737,1.09743164
h4,bull,1,rsi60+bb_bull,27763,0.04800665,0.04394338,-0.00406328,0.91536016
h4,bull,1,rsi60+bb_upper,19898,0.04800665,0.04653734,-0.00146931,0.96939356
h4,bull,1,rsi60+body_bull,7005,0.04800665,0.05681656,0.00880991,1.18351428
h4,bull,1,rsi60+rsi_up1,7285,0.04800665,0.05998627,0.01197962,1.24954082
h4,bull,1,rsi60+rsi_up3,10207,0.04800665,0.05016165,0.00215500,1.04488962
h4,bull,1,rsi60+rsi_cross50_up,248,0.04800665,0.07258065,0.02457399,1.51188721
h4,bull,1,rsi60+rsi_cross55_up,1047,0.04800665,0.06972302,0.02171636,1.45236156
h4,bull,1,rsi60+macd_cross_up,1209,0.04800665,0.05210918,0.00410253,1.08545748
h4,bull,1,rsi60+macd_accel_up,15204,0.04800665,0.04847409,0.00046743,1.00973683
h4,bull,1,rsi60+adx_up3,8069,0.04800665,0.04399554,-0.00401111,0.91644669
h4,bull,1,rsi60+adx_cross25_up,881,0.04800665,0.05221339,0.00420674,1.08762828
h4,bull,1,rsi60+di_cross_up,1043,0.04800665,0.04697987,-0.00102679,0.97861156
h4,bull,1,rsi60+di_spread_up3,10316,0.04800665,0.05157038,0.00356372,1.07423393
h4,bull,1,rsi60+ema20_slope_up3,27813,0.04800665,0.04404415,-0.00396250,0.91745933
h4,bull,1,rsi60+price20_cross_up,311,0.04800665,0.05466238,0.00665573,1.13864174
h4,bull,1,rsi60+price200_cross_up,739,0.04800665,0.07036536,0.02235871,1.46574180
h4,bull,1,rsi60+breakout20_up,6863,0.04800665,0.06061489,0.01260824,1.26263522
h4,bull,1,rsi60+atr_expand,1985,0.04800665,0.06347607,0.01546942,1.32223486
h4,bull,1,rsi60+bb_expand,11051,0.04800665,0.04859289,0.00058623,1.01221152
h4,bull,1,rsi60+body_expand,8257,0.04800665,0.05171370,0.00370704,1.07721938
h4,bull,1,macd_bull+macd_rising,30100,0.04800665,0.04867110,0.00066444,1.01384064
h4,bull,1,macd_bull+adx25,24487,0.04800665,0.04978152,0.00177486,1.03697120
h4,bull,1,macd_bull+adx_rising,25637,0.04800665,0.04723642,-0.00077024,0.98395562
h4,bull,1,macd_bull+di_bull,38186,0.04800665,0.04784476,-0.00016189,0.99662769
h4,bull,1,macd_bull+di_strong_bull,29186,0.04800665,0.04861920,0.00061255,1.01275964
h4,bull,1,macd_bull+volatility,16554,0.04800665,0.06216020,0.01415355,1.29482475
h4,bull,1,macd_bull+bb_bull,46837,0.04800665,0.04720627,-0.00080038,0.98332763
h4,bull,1,macd_bull+bb_upper,24161,0.04800665,0.04751459,-0.00049206,0.98975009
h4,bull,1,macd_bull+body_bull,10517,0.04800665,0.05372254,0.00571589,1.11906456
h4,bull,1,macd_bull+rsi_up1,13107,0.04800665,0.05683986,0.00883320,1.18399956
h4,bull,1,macd_bull+rsi_up3,18428,0.04800665,0.05003256,0.00202591,1.04220052
h4,bull,1,macd_bull+rsi_cross50_up,3293,0.04800665,0.05375038,0.00574373,1.11964438
h4,bull,1,macd_bull+rsi_cross55_up,3888,0.04800665,0.06172840,0.01372174,1.28583000
h4,bull,1,macd_bull+macd_cross_up,4377,0.04800665,0.04820653,0.00019988,1.00416361
h4,bull,1,macd_bull+macd_accel_up,30100,0.04800665,0.04867110,0.00066444,1.01384064
h4,bull,1,macd_bull+adx_up3,8847,0.04800665,0.04453487,-0.00347178,0.92768122
h4,bull,1,macd_bull+adx_cross25_up,971,0.04800665,0.04840371,0.00039705,1.00827082
h4,bull,1,macd_bull+di_cross_up,3045,0.04800665,0.05648604,0.00847939,1.17662946
h4,bull,1,macd_bull+di_spread_up3,19161,0.04800665,0.05234591,0.00433926,1.09038867
h4,bull,1,macd_bull+ema20_slope_up3,44111,0.04800665,0.04699508,-0.00101157,0.97892849
h4,bull,1,macd_bull+price20_cross_up,3674,0.04800665,0.05606968,0.00806303,1.16795642
h4,bull,1,macd_bull+price200_cross_up,1382,0.04800665,0.06584660,0.01783995,1.37161403
h4,bull,1,macd_bull+breakout20_up,6949,0.04800665,0.06000863,0.01200198,1.25000662
h4,bull,1,macd_bull+atr_expand,3014,0.04800665,0.05739881,0.00939215,1.19564272
h4,bull,1,macd_bull+bb_expand,13622,0.04800665,0.04925855,0.00125190,1.02607761
h4,bull,1,macd_bull+body_expand,16652,0.04800665,0.05188566,0.00387901,1.08080143
h4,bull,1,macd_rising+adx25,24702,0.04800665,0.05315359,0.00514694,1.10721300
h4,bull,1,macd_rising+adx_rising,26567,0.04800665,0.05021267,0.00220602,1.04595231
h4,bull,1,macd_rising+di_bull,26850,0.04800665,0.04837989,0.00037323,1.00777465
h4,bull,1,macd_rising+di_strong_bull,19015,0.04800665,0.05117013,0.00316348,1.06589661
h4,bull,1,macd_rising+volatility,17344,0.04800665,0.06319188,0.01518523,1.31631508
h4,bull,1,macd_rising+bb_bull,31391,0.04800665,0.04781625,-0.00019040,0.99603388
h4,bull,1,macd_rising+bb_upper,18291,0.04800665,0.04947789,0.00147123,1.03064642
h4,bull,1,macd_rising+body_bull,15308,0.04800665,0.05330546,0.00529881,1.11037653
h4,bull,1,macd_rising+rsi_up1,21874,0.04800665,0.05517967,0.00717301,1.14941704
h4,bull,1,macd_rising+rsi_up3,26972,0.04800665,0.05031143,0.00230478,1.04800961
h4,bull,1,macd_rising+rsi_cross50_up,5271,0.04800665,0.05027509,0.00226844,1.04725255
h4,bull,1,macd_rising+rsi_cross55_up,5063,0.04800665,0.05530318,0.00729653,1.15198990
h4,bull,1,macd_rising+macd_cross_up,4377,0.04800665,0.04820653,0.00019988,1.00416361
h4,bull,1,macd_rising+macd_accel_up,56608,0.04800665,0.04767877,-0.00032788,0.99317011
h4,bull,1,macd_rising+adx_up3,9817,0.04800665,0.05235815,0.00435150,1.09064370
h4,bull,1,macd_rising+adx_cross25_up,1004,0.04800665,0.04382470,-0.00418195,0.91288807
h4,bull,1,macd_rising+di_cross_up,4337,0.04800665,0.05210975,0.00410310,1.08546940
h4,bull,1,macd_rising+di_spread_up3,25349,0.04800665,0.05329599,0.00528933,1.11017920
