horizon_bars,condition,disc_n,disc_hit,disc_lift,val_n,val_hit,val_lift,oos_n,oos_hit,oos_lift,oos_pairs_ge5,oos_pairs_above_base,oos_pair_mean,oos_pair_min
1,pin+near_recent_high_atr10<=1.5+breakout_down20,0,,,0,,,0,,,0,0,,
1,pin+near_recent_high_atr10<=1.5+retest_down,0,,,0,,,0,,,0,0,,
3,pin+early_drop_atr3<=0.5+atr_expand,13,0.46153846,2.79267321,3,0.33333333,1.94033105,2,1.00000000,7.43806486,0,0,,
3,pin+atr_expand,61,0.40983607,2.47983277,11,0.54545455,3.17508718,8,0.75000000,5.57854864,0,0,,
3,pin+early_drop_atr3<=1.0+atr_expand,19,0.47368421,2.86616461,5,0.20000000,1.16419863,3,0.66666667,4.95870991,0,0,,
3,pin+early_drop_atr10<=1.0+atr_expand,18,0.44444444,2.68924087,3,0.00000000,0.00000000,3,0.66666667,4.95870991,0,0,,
3,pin+near_recent_high_atr10<=1.0+atr_expand,18,0.44444444,2.68924087,3,0.00000000,0.00000000,3,0.66666667,4.95870991,0,0,,
3,pin+near_recent_high_atr10<=1.5+atr_expand,20,0.40000000,2.42031678,4,0.25000000,1.45524829,3,0.66666667,4.95870991,0,0,,
3,pin+early_drop_atr3<=0.5+adx_rising,160,0.33750000,2.04214229,49,0.30612245,1.78193668,20,0.50000000,3.71903243,2,2,0.52222222,0.44444444
3,pin+early_drop_atr3<=0.5+bb_bear,88,0.38636364,2.33780598,29,0.48275862,2.81013463,16,0.50000000,3.71903243,1,1,0.33333333,0.33333333
3,pin+early_drop_atr3<=0.5+adx25,137,0.33576642,2.03165277,36,0.38888889,2.26371956,30,0.43333333,3.22316144,4,4,0.46103896,0.27272727
3,pin+early_drop_atr10<=1.0+bb_bear,24,0.25000000,1.51269799,16,0.43750000,2.54668451,7,0.42857143,3.18774208,0,0,,
3,pin+near_recent_high_atr10<=1.0+bb_bear,24,0.25000000,1.51269799,16,0.43750000,2.54668451,7,0.42857143,3.18774208,0,0,,
3,pin+early_drop_atr10<=1.0+adx25,145,0.31034483,1.87783199,41,0.34146341,1.98765620,31,0.41935484,3.11918849,3,3,0.46103896,0.42857143
3,pin+near_recent_high_atr10<=1.0+adx25,145,0.31034483,1.87783199,41,0.34146341,1.98765620,31,0.41935484,3.11918849,3,3,0.46103896,0.42857143
3,pin+elliott_pullback_bear,177,0.24858757,1.50415167,41,0.51219512,2.98148430,24,0.41666667,3.09919369,3,2,0.36507937,0.16666667
3,pin+early_drop_atr3<=0.5+macd_bear,107,0.34579439,2.09232993,29,0.34482759,2.00723902,12,0.41666667,3.09919369,1,1,0.40000000,0.40000000
3,pin+early_drop_atr3<=0.5+price200_bear,108,0.34259259,2.07295650,30,0.43333333,2.52243037,29,0.41379310,3.07781994,3,3,0.45833333,0.37500000
3,pin+early_drop_atr3<=1.0+adx25,247,0.32793522,1.98426781,60,0.43333333,2.52243037,46,0.41304348,3.07224418,4,4,0.40381494,0.28571429
3,pin+early_drop_atr3<=1.0+adx_rising,261,0.31417625,1.90101510,84,0.33333333,1.94033105,40,0.40000000,2.97522594,4,3,0.38630952,0.20000000
3,pin+early_drop_atr3<=0.5+elliott_pullback_bear,31,0.35483871,2.14705521,6,0.50000000,2.91049658,5,0.40000000,2.97522594,0,0,,
3,pin+near_recent_high_atr10<=1.5+adx25,200,0.33500000,2.02701531,48,0.39583333,2.30414313,37,0.37837838,2.81440292,3,3,0.44841270,0.41666667
