timeframe,target_pips,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
d1,50,3,pin_bull+mtf_volatility,161,0.72670807,1.45769874,43,0.65116279,1.34530662,0.50171782,27,0.74074074,1.67991619,0.55321429
d1,50,10,adx_up3+volatility+pullback_bull+cross_group_return_up,141,0.83687943,1.16914286,34,0.82352941,1.12193561,0.66486263,27,0.74074074,1.08445717,0.55321429
d1,50,5,rci_bull+volatility+nr4+mtf_di_strong_bull,236,0.75000000,1.23166613,52,0.71153846,1.18201613,0.57727212,24,0.75000000,1.32587549,0.55100556
d1,50,10,rci_bull+volatility+pullback_bull+mtf_di_strong_bull,209,0.81339713,1.13633745,37,0.81081081,1.10460842,0.65795303,24,0.75000000,1.09801289,0.55100556
d1,100,10,sma_stack_bull+adx_up3+volatility,297,0.61616162,1.29479318,38,0.63157895,1.29770817,0.47283960,82,0.65853659,1.50854683,0.55087740
h4,50,12,volatility+pin_bull+mtf_trend_bull+cross_group_bull,128,0.65625000,1.48177002,36,0.47222222,1.11095087,0.31986042,32,0.71875000,1.88527020,0.54625491
d1,50,5,price200_bull+pin_bull+cross_group_return_up,179,0.77653631,1.27524463,29,0.62068966,1.03109701,0.44002544,40,0.70000000,1.23748379,0.54569981
d1,50,3,volatility+close_near_high+elliott_pullback_bull,127,0.62992126,1.26355473,19,0.57894737,1.19610908,0.36275904,37,0.70270270,1.59365022,0.54216864
d1,50,5,price200_bull+rci_bull+volatility+nr7,130,0.75384615,1.23798237,27,0.77777778,1.29205366,0.59243071,26,0.73076923,1.29187868,0.53916960
h4,50,12,volatility+pin_bull+mtf_trend_bull+cross_group_return_up,148,0.62837838,1.41883770,37,0.45945946,1.08092517,0.31038570,34,0.70588235,1.85151856,0.53831090
