timeframe,direction,horizon_bars,base_feature,added_feature,disc_n,disc_rate,disc_increment,val_n,val_rate,val_increment,oos_n,oos_rate,oos_increment
h4,bull,3,atr_expand,price20_bull,2300,0.15260870,-0.02532797,447,0.18344519,-0.01868247,311,0.11254019,-0.04151386
h4,bull,3,atr_expand,price200_bull,2609,0.17286317,-0.00507350,454,0.21145374,0.00932608,375,0.11733333,-0.03672072
h4,bull,3,atr_expand,ema20_rising,2300,0.15260870,-0.02532797,447,0.18344519,-0.01868247,311,0.11254019,-0.04151386
h4,bull,3,atr_expand,ema200_rising,2609,0.17286317,-0.00507350,454,0.21145374,0.00932608,375,0.11733333,-0.03672072
h4,bull,3,atr_expand,momentum_bull,1573,0.13731723,-0.04061944,318,0.16352201,-0.03860565,215,0.10697674,-0.04707731
h4,bull,3,atr_expand,rsi60,1493,0.16610851,-0.01182816,281,0.17081851,-0.03130915,211,0.10426540,-0.04978865
h4,bull,3,atr_expand,macd_bull,2265,0.15143488,-0.02650179,440,0.19545455,-0.00667311,309,0.11650485,-0.03754920
h4,bull,3,atr_expand,macd_rising,2308,0.16421144,-0.01372523,461,0.19956616,-0.00256150,307,0.12703583,-0.02701822
h4,bull,3,atr_expand,adx25,2444,0.20621931,0.02828264,473,0.19450317,-0.00762449,347,0.12680115,-0.02725290
h4,bull,3,atr_expand,adx_rising,3127,0.19763351,0.01969684,620,0.21129032,0.00916266,565,0.16283186,0.00877780
h4,bull,3,atr_expand,di_bull,2221,0.15398469,-0.02395198,434,0.14746544,-0.05466222,282,0.10283688,-0.05121717
h4,bull,3,atr_expand,di_strong_bull,1822,0.16190999,-0.01602668,366,0.15300546,-0.04912220,241,0.11203320,-0.04202086
h4,bull,3,atr_expand,volatility,2864,0.20076816,0.02283149,605,0.24462810,0.04250044,491,0.16293279,0.00887874
h4,bull,3,atr_expand,bb_bull,2279,0.15357613,-0.02436054,449,0.18708241,-0.01504525,311,0.10932476,-0.04472930
h4,bull,3,atr_expand,bb_upper,1620,0.15370370,-0.02423297,321,0.16822430,-0.03390336,224,0.11607143,-0.03798263
h4,bull,3,atr_expand,body_bull,1073,0.16123020,-0.01670647,214,0.19626168,-0.00586598,154,0.12337662,-0.03067743
h4,bull,3,atr_expand,rsi_up1,1669,0.17136010,-0.00657657,315,0.21587302,0.01374536,235,0.13191489,-0.02213916
h4,bull,3,atr_expand,rsi_up3,1793,0.16731735,-0.01061932,386,0.18134715,-0.02078051,234,0.12820513,-0.02584893
h4,bull,3,atr_expand,rsi_cross50_up,409,0.13202934,-0.04590733,80,0.15000000,-0.05212766,45,,
h4,bull,3,atr_expand,rsi_cross55_up,415,0.14216867,-0.03576800,74,0.17567568,-0.02645198,58,0.08620690,-0.06784716
h4,bull,3,atr_expand,macd_cross_up,261,0.11877395,-0.05916272,53,0.15094340,-0.05118426,38,,
h4,bull,3,atr_expand,macd_accel_up,2308,0.16421144,-0.01372523,461,0.19956616,-0.00256150,307,0.12703583,-0.02701822
h4,bull,3,atr_expand,adx_up3,1626,0.22755228,0.04961561,337,0.19584570,-0.00628196,330,0.19090909,0.03685504
h4,bull,3,atr_expand,adx_cross25_up,196,0.24489796,0.06696129,38,,,38,,
h4,bull,3,atr_expand,di_cross_up,338,0.14497041,-0.03296626,67,0.16417910,-0.03794856,38,,
h4,bull,3,atr_expand,di_spread_up3,1835,0.15422343,-0.02371324,413,0.16949153,-0.03263613,247,0.13765182,-0.01640223
