conditions,pair,event_timestamp,hit100,hit150,hit200,hit300
price20+price200+macd+volatility,eurgbp,2022-10-03 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2023-02-22 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2023-03-10 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2023-03-14 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2023-03-16 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2023-05-01 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2023-05-05 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2023-11-30 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2024-06-10 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2024-09-20 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2024-11-06 04:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2025-12-19 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2026-03-03 20:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurgbp,2026-07-03 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-06-17 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-06-17 16:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2021-06-18 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-07-06 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-07-19 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-08-17 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-09-09 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-09-15 12:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-09-16 12:00:00+00:00,1,0,0,0
price20+price200+macd+volatility,eurjpy,2021-09-21 00:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-09-30 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-11-05 16:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-11-22 08:00:00+00:00,0,0,0,0
price20+price200+macd+volatility,eurjpy,2021-11-26 12:00:00+00:00,0,0,0,0
