timeframe,direction,target_pips,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_positive_lift,oos_pair_positive_share,oos_min_pair_lift,oos_median_pair_lift,oos_recomputed_samples,oos_recomputed_hit_rate,oos_wilson95_lower
h4,bull,150,trend+macd+adx+di,593,141,64,1.59048090,1.03698854,0.87980769,8,2,0.25000000,0.00000000,0.00000000,64,0.03125000,0.00861214
h4,bull,150,macd+adx+body,487,92,62,1.58454294,1.39063545,0.90818859,5,2,0.40000000,0.00000000,0.58585859,62,0.03225806,0.00889137
h4,bull,150,trend+macd+adx+bb,596,144,67,1.58247512,0.88846154,0.84041332,8,2,0.25000000,0.00000000,0.00000000,67,0.02985075,0.00822469
h4,bull,150,macd+adx+volatility+body,259,50,0,1.57247703,1.82769231,,1,0,0.00000000,0.00000000,0.00000000,29,0.06896552,0.01912127
h4,bull,150,adx+volatility+bb,600,126,73,1.57192529,1.16043956,0.38566913,9,1,0.11111111,0.00000000,0.00000000,73,0.01369863,0.00242225
h4,bull,150,macd+adx+di+body,355,75,0,1.56991258,1.70584615,,4,0,0.00000000,0.00000000,0.00000000,39,0.00000000,-0.00000000
h4,bull,150,macd+adx+volatility,656,139,90,1.56843987,1.18339790,1.56410256,11,4,0.36363636,0.00000000,1.78896104,90,0.05555556,0.02396097
h4,bull,150,adx+di+bb,1154,252,124,1.56028507,1.37802198,0.45409429,11,1,0.09090909,0.00000000,0.00000000,124,0.01612903,0.00443436
h4,bull,150,price20+adx+volatility,577,119,70,1.56028507,1.22870071,0.40219780,8,1,0.12500000,0.00000000,0.00000000,70,0.01428571,0.00252625
h4,bull,150,price20+adx+di+bb,1128,247,123,1.55824315,1.40591716,0.45778612,11,1,0.09090909,0.00000000,0.00000000,123,0.01626016,0.00447051
h4,bull,150,macd+adx,1306,288,187,1.54281961,1.33269231,1.20444262,11,4,0.36363636,0.00000000,1.16919192,187,0.04278075,0.02183454
h4,bull,150,momentum+adx+volatility,501,87,58,1.54026430,1.26047745,0.00000000,5,0,0.00000000,0.00000000,0.00000000,58,0.00000000,0.00000000
h4,bull,150,price20+adx+di,1157,251,124,1.53771272,1.38351211,0.45409429,11,1,0.09090909,0.00000000,0.00000000,124,0.01612903,0.00443436
h4,bull,150,price20+macd+di+volatility,810,202,95,1.53487654,1.80959634,0.88906883,10,3,0.30000000,0.00000000,1.75757576,95,0.03157895,0.01079714
h4,bull,150,price200+adx+volatility+bb,433,105,52,1.53463208,1.39252747,0.54142012,4,1,0.25000000,0.00000000,1.91666667,52,0.01923077,0.00340281
h4,bull,150,macd+di+volatility+bb,830,209,96,1.52371728,1.74898785,0.87980769,10,3,0.30000000,0.00000000,1.75757576,96,0.03125000,0.01068407
h4,bull,150,price200+adx+bb,975,219,118,1.51696286,1.25184405,0.47718383,11,2,0.18181818,0.00000000,0.00000000,118,0.01694915,0.00466044
h4,bull,200,price200+macd+adx+body,292,63,0,2.20769914,0.00000000,,2,0,0.00000000,0.00000000,0.00000000,37,0.00000000,-0.00000000
h4,bull,200,price200+macd+adx+volatility,384,99,0,2.15842014,1.33333333,,4,1,0.25000000,0.00000000,3.83333333,48,0.02083333,0.00368711
h4,bull,200,rsi_extreme+adx+volatility+body,130,0,0,2.12521368,,,2,1,0.50000000,2.76190476,2.76190476,33,0.03030303,0.00536941
h4,bull,200,price200+macd+adx,851,202,108,2.11022980,1.30693069,1.35555556,11,2,0.18181818,0.00000000,0.00000000,108,0.01851852,0.00509322
h4,bull,200,price200+adx+volatility+body,267,64,0,2.06949646,0.00000000,,1,0,0.00000000,0.00000000,0.00000000,32,0.00000000,0.00000000
h4,bull,200,price200+macd+adx+bb,828,198,106,2.05762435,1.33333333,1.38113208,11,2,0.18181818,0.00000000,0.00000000,106,0.01886792,0.00518961
h4,bull,200,price200+macd+adx+di,809,189,92,2.04903173,1.39682540,1.59130435,10,2,0.20000000,0.00000000,0.00000000,92,0.02173913,0.00598204
h4,bull,200,momentum+macd+adx+volatility,360,71,0,2.04650206,0.92957746,,3,0,0.00000000,0.00000000,0.00000000,46,0.00000000,0.00000000
h4,bull,200,price20+price200+macd+adx,818,195,102,2.02648737,1.35384615,1.43529412,11,2,0.18181818,0.00000000,0.00000000,102,0.01960784,0.00539375
h4,bull,200,momentum+macd+adx+body,251,51,0,2.01796518,0.00000000,,2,0,0.00000000,0.00000000,0.00000000,34,0.00000000,0.00000000
h4,bull,200,macd+adx+di+volatility,486,115,50,1.98965478,1.14782609,1.46400000,5,1,0.20000000,0.00000000,3.83333333,50,0.02000000,0.00353926
h4,bull,200,trend+price200+macd+adx,606,145,67,1.97558367,0.91034483,2.18507463,8,2,0.25000000,0.00000000,0.00000000,67,0.02985075,0.00822469
h4,bull,200,trend+macd+adx,607,145,67,1.97232900,0.91034483,2.18507463,8,2,0.25000000,0.00000000,0.00000000,67,0.02985075,0.00822469
h4,bull,200,price200+momentum+adx+volatility,328,63,0,1.96539070,1.04761905,,3,0,0.00000000,0.00000000,0.00000000,38,0.00000000,0.00000000
h4,bull,200,price20+macd+adx+di,986,228,112,1.96140410,1.73684211,1.30714286,11,2,0.18181818,0.00000000,0.00000000,112,0.01785714,0.00491081
h4,bull,200,macd+adx+volatility+body,259,50,0,1.95563421,0.00000000,,1,0,0.00000000,0.00000000,0.00000000,29,0.00000000,0.00000000
h4,bull,200,trend+adx+volatility+body,236,52,0,1.95111425,0.00000000,,1,0,0.00000000,0.00000000,0.00000000,22,0.00000000,0.00000000
h4,bull,200,trend+macd+adx+body,213,0,0,1.94561815,,,1,0,0.00000000,0.00000000,0.00000000,21,0.00000000,-0.00000000
h4,bull,200,momentum+adx+di+volatility,406,71,0,1.92804689,0.92957746,,2,0,0.00000000,0.00000000,0.00000000,36,0.00000000,0.00000000
h4,bull,200,macd+adx+di+bb,1006,231,113,1.92240998,1.71428571,1.29557522,11,2,0.18181818,0.00000000,0.00000000,113,0.01769912,0.00486723
h4,bull,200,price20+macd+adx+volatility,504,112,64,1.91859568,1.17857143,1.14375000,7,1,0.14285714,0.00000000,0.00000000,64,0.01562500,0.00276354
h4,bull,200,price200+adx+volatility,628,143,73,1.90637532,0.92307692,1.00273973,7,1,0.14285714,0.00000000,0.00000000,73,0.01369863,0.00242225
h4,bull,200,macd+adx+di,1017,235,115,1.90161696,1.68510638,1.27304348,11,2,0.18181818,0.00000000,0.00000000,115,0.01739130,0.00478235
h4,bull,200,price20+adx+di+volatility,538,114,53,1.88293405,1.15789474,1.38113208,6,1,0.16666667,0.00000000,3.83333333,53,0.01886792,0.00333845
h4,bull,200,adx+di+volatility+bb,539,118,52,1.87944067,1.11864407,1.40769231,6,1,0.16666667,0.00000000,3.83333333,52,0.01923077,0.00340281
h4,bull,200,trend+price20+macd+adx,590,142,65,1.87306968,0.92957746,2.25230769,8,2,0.25000000,0.00000000,0.00000000,65,0.03076923,0.00847900
h4,bull,200,price20+price200+adx+di,962,206,103,1.86674174,1.28155340,1.42135922,11,2,0.18181818,0.00000000,0.00000000,103,0.01941748,0.00534123
h4,bull,200,trend+macd+adx+di,593,141,64,1.86359378,0.93617021,2.28750000,8,2,0.25000000,0.00000000,0.00000000,64,0.03125000,0.00861214
h4,bull,200,trend+macd+adx+bb,596,144,67,1.85421327,0.91666667,2.18507463,8,2,0.25000000,0.00000000,0.00000000,67,0.02985075,0.00822469
h4,bull,200,price20+macd+adx+bb,1045,243,140,1.85066454,1.62962963,1.56857143,11,2,0.18181818,0.00000000,0.00000000,140,0.02142857,0.00731400
h4,bull,200,price200+adx+di+bb,949,207,103,1.84379269,1.27536232,1.42135922,11,2,0.18181818,0.00000000,0.00000000,103,0.01941748,0.00534123
h4,bull,200,price20+macd+adx,1049,243,140,1.84360767,1.62962963,1.56857143,11,2,0.18181818,0.00000000,0.00000000,140,0.02142857,0.00731400
h4,bull,200,price200+adx+bb,975,219,118,1.84185185,1.20547945,1.24067797,11,2,0.18181818,0.00000000,0.00000000,118,0.01694915,0.00466044
h4,bull,200,price20+macd+adx+body,350,73,0,1.84185185,0.00000000,,5,0,0.00000000,0.00000000,0.00000000,46,0.00000000,0.00000000
h4,bull,200,price200+adx+di+volatility,477,110,0,1.83412920,1.20000000,,5,1,0.20000000,0.00000000,3.83333333,48,0.02083333,0.00368711
h4,bull,200,adx+di+volatility,603,128,59,1.83268841,1.03125000,1.24067797,6,1,0.16666667,0.00000000,3.83333333,59,0.01694915,0.00299823
h4,bull,200,price20+price200+adx+bb,956,214,114,1.83029211,1.23364486,1.28421053,11,2,0.18181818,0.00000000,0.00000000,114,0.01754386,0.00482442
h4,bull,200,macd+adx+volatility,656,139,90,1.82500565,1.42446043,0.81333333,11,1,0.09090909,0.00000000,0.00000000,90,0.01111111,0.00196408
