timeframe,direction,horizon_bars,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_wilson95_lower,oos_pairs_n_ge5,oos_pairs_above_oos_base,oos_pair_hit_mean,oos_min_pair_hit
h4,bear,3,atr_expand+mtf_volatility,1172,192,172,1.82303536,2.09112803,2.07458482,0.19122773,11,8,0.26671210,0.00000000
h4,bear,3,mtf_macd_bear+adx_up3+atr_expand,861,189,162,1.59165198,1.57714707,1.48550518,0.12762966,12,6,0.15460322,0.00000000
h4,bear,3,mtf_rsi40+mtf_volatility,5389,861,945,1.56046549,1.92178000,2.42364194,0.26396052,12,7,0.22447906,0.00000000
h4,bear,3,mtf_di_strong_bear+mtf_volatility,9173,1449,1561,1.55440070,1.80525263,1.96693500,0.21659311,12,5,0.18236923,0.00000000
h4,bear,3,atr_expand+mtf_macd_bear+structure_breakout20_down,459,103,79,1.54710842,1.29934169,2.10084538,0.17027864,10,7,0.26202381,0.00000000
h4,bear,3,rsi_cross45_down+mtf_volatility,1011,214,183,1.54034299,1.16548852,2.17661358,0.20391960,11,9,0.27354488,0.00000000
h4,bear,3,atr_expand+mtf_di_strong_bear+structure_breakout20_down,272,58,61,1.53438549,0.73418915,2.17661358,0.16838786,7,5,0.25986395,0.00000000
h4,bear,3,atr_expand+mtf_adx_rising+structure_breakout20_down,354,70,70,1.49569915,0.78213620,2.60804948,0.21762290,6,4,0.38449074,0.00000000
h4,bear,3,mtf_di_bear+mtf_volatility,11983,2074,2011,1.47112461,1.73640437,1.81564857,0.20127260,12,7,0.18114613,0.00000000
h4,bear,3,breakout20_down+atr_expand,778,150,144,1.46521069,0.97332505,1.90170275,0.16808992,12,7,0.20485556,0.00000000
h4,bear,3,atr_expand+structure_breakout20_down,778,150,144,1.46521069,0.97332505,1.90170275,0.16808992,12,7,0.20485556,0.00000000
h4,bear,3,mtf_adx25+mtf_volatility,11657,1838,2194,1.45989790,1.22459966,1.59612542,0.17639383,12,8,0.18268355,0.00000000
h4,bear,3,volatility+mtf_volatility,9620,1647,1395,1.44267564,1.96127656,1.91545896,0.20947027,12,9,0.22840602,0.01234568
h4,bear,3,rsi40+atr_expand,1581,317,298,1.44204164,1.26655073,1.72650012,0.16582624,12,6,0.16667208,0.00000000
h4,bear,3,price200_cross_down+breakout20_down,355,101,72,1.43884524,1.38530174,1.72882068,0.13052055,9,6,0.24736251,0.00000000
h4,bear,3,price200_cross_down+structure_breakout20_down,355,101,72,1.43884524,1.38530174,1.72882068,0.13052055,9,6,0.24736251,0.00000000
h4,bear,3,rsi_cross50_down+mtf_volatility,1103,217,188,1.43445454,1.85021466,1.72146400,0.15562879,11,6,0.21500148,0.00000000
h4,bear,3,body_bear+mtf_volatility,3293,585,564,1.43196609,1.37263789,1.83917094,0.18930056,12,8,0.22391455,0.00000000
h4,bear,3,trend_bear+mtf_volatility,8352,1331,1488,1.42751287,1.95158619,1.99093220,0.21890919,12,6,0.19186755,0.00000000
h4,bear,3,adx_up3+atr_expand,1626,337,330,1.41745659,1.19138452,1.58422841,0.15215703,12,6,0.16462101,0.00000000
h4,bear,3,price20_cross_down+mtf_volatility,1261,236,213,1.41279624,1.72703332,1.71421093,0.15763594,12,7,0.20721785,0.00000000
h4,bear,3,atr_expand+mtf_di_strong_bear+structure_ll,574,102,97,1.41078244,0.71568018,1.79654768,0.14618778,11,6,0.20252525,0.00000000
h4,bear,3,breakout20_down+mtf_volatility,1020,170,185,1.41071860,1.89655248,2.24279440,0.21143111,11,8,0.30985459,0.07407407
h4,bear,3,mtf_volatility+structure_breakout20_down,1020,170,185,1.41071860,1.89655248,2.24279440,0.21143111,11,8,0.30985459,0.07407407
h4,bear,3,mtf_volatility+impulse_bear,3668,650,632,1.40953982,1.61908878,1.98267283,0.20731887,12,7,0.23363473,0.00000000
h4,bear,3,adx_up3+mtf_di_strong_bear+impulse_bear,986,201,200,1.40250573,1.08954296,1.86712633,0.17262370,12,6,0.17147944,0.00000000
h4,bear,3,rsi40+mtf_volatility,5248,844,866,1.40179548,2.00373492,2.14645265,0.23060624,12,8,0.22788285,0.00000000
h4,bear,3,adx25+mtf_volatility,11278,1982,1979,1.39959733,1.60215589,1.77372284,0.19624635,12,8,0.19338487,0.02564103
h4,bear,3,momentum_bear+mtf_volatility,7472,1365,1224,1.38805271,1.68905766,1.95255042,0.21238155,12,9,0.21698768,0.00000000
h4,bear,3,price200_bear+mtf_volatility,11676,1939,2043,1.38656674,1.86043628,1.87657011,0.20852195,12,8,0.18848378,0.00000000
h4,bear,3,ema200_falling+mtf_volatility,11676,1939,2043,1.38656674,1.86043628,1.87657011,0.20852195,12,8,0.18848378,0.00000000
h4,bear,3,mtf_price20_bear+mtf_volatility,11743,2005,2089,1.38608203,1.75975227,1.85908223,0.20666694,12,8,0.19168808,0.00000000
h4,bear,3,mtf_ema20_falling+mtf_volatility,11743,2005,2089,1.38608203,1.75975227,1.85908223,0.20666694,12,8,0.19168808,0.00000000
