pair,h,a,b,gap,n,hit
eurjpy,12,adx_up3,bb_expand,3,13,0.6923076923076923
eurjpy,12,rsi_down1,adx_up3,1,14,0.7142857142857143
eurjpy,12,rsi_down1,adx_up3,2,15,0.6666666666666666
eurjpy,12,rsi_down1,adx_up3,3,12,0.4166666666666667
eurjpy,12,rsi_down1,atr_expand,1,6,0.8333333333333334
eurjpy,12,rsi_down1,atr_expand,2,7,0.7142857142857143
eurjpy,12,rsi_down1,bb_expand,1,23,0.5652173913043478
eurjpy,12,rsi_down1,bb_expand,2,16,0.6875
eurjpy,12,rsi_down1,bb_expand,3,19,0.47368421052631576
eurjpy,12,rsi_down1,breakout_down20,1,5,0.8
eurjpy,12,rsi_down1,retest_down,1,5,0.8
eurjpy,12,price20_cross_down,bb_expand,3,5,0.4
eurjpy,12,atr_expand,adx_up3,1,7,0.42857142857142855
eurjpy,12,atr_expand,adx_up3,2,6,0.5
eurjpy,12,atr_expand,adx_up3,3,6,0.3333333333333333
eurjpy,12,atr_expand,bb_expand,1,10,0.6
eurjpy,12,atr_expand,bb_expand,2,10,0.7
eurjpy,12,atr_expand,bb_expand,3,9,0.4444444444444444
eurjpy,12,bb_expand,adx_up3,1,36,0.6388888888888888
eurjpy,12,bb_expand,adx_up3,2,31,0.6129032258064516
eurjpy,12,bb_expand,adx_up3,3,30,0.6666666666666666
eurjpy,12,bb_expand,atr_expand,1,8,0.75
eurjpy,12,breakout_down20,adx_up3,1,9,0.6666666666666666
eurjpy,12,breakout_down20,adx_up3,2,7,0.5714285714285714
eurjpy,12,breakout_down20,adx_up3,3,5,0.4
eurjpy,12,breakout_down20,atr_expand,1,5,0.8
eurjpy,12,breakout_down20,bb_expand,1,12,0.8333333333333334
eurjpy,12,breakout_down20,bb_expand,2,9,0.6666666666666666
eurjpy,12,breakout_down20,bb_expand,3,7,0.5714285714285714
eurjpy,12,breakout_down20,retest_down,1,5,0.8
eurjpy,12,retest_down,adx_up3,1,9,0.6666666666666666
eurjpy,12,retest_down,adx_up3,2,7,0.5714285714285714
eurjpy,12,retest_down,adx_up3,3,5,0.4
eurjpy,12,retest_down,bb_expand,1,11,0.8181818181818182
eurjpy,12,retest_down,bb_expand,2,8,0.625
eurjpy,12,retest_down,bb_expand,3,7,0.5714285714285714
eurjpy,12,retest_down,breakout_down20,1,5,0.8
eurjpy,24,adx_up3,bb_expand,1,28,0.7142857142857143
eurjpy,24,adx_up3,bb_expand,2,20,0.75
eurjpy,24,adx_up3,bb_expand,3,13,0.7692307692307693
eurjpy,24,rsi_down1,adx_up3,1,14,0.8571428571428571
eurjpy,24,rsi_down1,adx_up3,2,15,0.7333333333333333
eurjpy,24,rsi_down1,adx_up3,3,12,0.5
eurjpy,24,rsi_down1,atr_expand,1,6,0.8333333333333334
eurjpy,24,rsi_down1,atr_expand,2,7,0.7142857142857143
eurjpy,24,rsi_down1,bb_expand,1,23,0.782608695652174
eurjpy,24,rsi_down1,bb_expand,2,16,0.75
eurjpy,24,rsi_down1,bb_expand,3,19,0.5789473684210527
eurjpy,24,rsi_down1,breakout_down20,1,5,0.8
eurjpy,24,rsi_down1,retest_down,1,5,0.8
eurjpy,24,price20_cross_down,bb_expand,3,5,0.6
eurjpy,24,atr_expand,adx_up3,1,7,0.42857142857142855
eurjpy,24,atr_expand,adx_up3,2,6,0.5
eurjpy,24,atr_expand,adx_up3,3,6,0.5
eurjpy,24,atr_expand,bb_expand,1,10,0.6
eurjpy,24,atr_expand,bb_expand,2,10,0.7
eurjpy,24,atr_expand,bb_expand,3,9,0.7777777777777778
eurjpy,24,bb_expand,adx_up3,1,36,0.7777777777777778
eurjpy,24,bb_expand,adx_up3,2,31,0.8064516129032258
eurjpy,24,bb_expand,adx_up3,3,30,0.8
eurjpy,24,bb_expand,atr_expand,1,8,0.75
eurjpy,24,breakout_down20,adx_up3,1,9,0.8888888888888888
eurjpy,24,breakout_down20,adx_up3,2,7,0.7142857142857143
eurjpy,24,breakout_down20,adx_up3,3,5,0.6
eurjpy,24,breakout_down20,atr_expand,1,5,0.8
eurjpy,24,breakout_down20,bb_expand,1,12,1.0
eurjpy,24,breakout_down20,bb_expand,2,9,0.7777777777777778
eurjpy,24,breakout_down20,bb_expand,3,7,0.7142857142857143
eurjpy,24,breakout_down20,retest_down,1,5,0.8
eurjpy,24,retest_down,adx_up3,1,9,0.8888888888888888
eurjpy,24,retest_down,adx_up3,2,7,0.7142857142857143
eurjpy,24,retest_down,adx_up3,3,5,0.6
eurjpy,24,retest_down,bb_expand,1,11,1.0
eurjpy,24,retest_down,bb_expand,2,8,0.75
eurjpy,24,retest_down,bb_expand,3,7,0.7142857142857143
eurjpy,24,retest_down,breakout_down20,1,5,0.8
gbpjpy,1,adx_up3,rsi_down1,1,6,0.5
gbpjpy,1,adx_up3,rsi_down1,3,5,0.4
gbpjpy,1,adx_up3,atr_expand,1,16,0.375
gbpjpy,1,adx_up3,atr_expand,2,9,0.3333333333333333
gbpjpy,1,adx_up3,atr_expand,3,10,0.4
gbpjpy,1,adx_up3,bb_expand,1,53,0.2830188679245283
gbpjpy,1,adx_up3,bb_expand,2,42,0.2857142857142857
gbpjpy,1,adx_up3,bb_expand,3,34,0.35294117647058826
gbpjpy,1,rsi_down1,adx_up3,1,18,0.2222222222222222
gbpjpy,1,rsi_down1,adx_up3,2,24,0.125
gbpjpy,1,rsi_down1,adx_up3,3,19,0.3684210526315789
gbpjpy,1,rsi_down1,atr_expand,1,8,0.375
gbpjpy,1,rsi_down1,atr_expand,2,13,0.15384615384615385
gbpjpy,1,rsi_down1,atr_expand,3,10,0.5
gbpjpy,1,rsi_down1,bb_expand,1,19,0.2631578947368421
gbpjpy,1,rsi_down1,bb_expand,2,29,0.1724137931034483
gbpjpy,1,rsi_down1,bb_expand,3,24,0.375
gbpjpy,1,price20_cross_down,atr_expand,2,5,0.0
gbpjpy,1,price20_cross_down,bb_expand,2,5,0.0
gbpjpy,1,price200_cross_down,bb_expand,2,6,0.16666666666666666
gbpjpy,1,atr_expand,adx_up3,1,14,0.2857142857142857
gbpjpy,1,atr_expand,adx_up3,2,18,0.3333333333333333
gbpjpy,1,atr_expand,adx_up3,3,19,0.2631578947368421
gbpjpy,1,atr_expand,bb_expand,1,18,0.2777777777777778
gbpjpy,1,atr_expand,bb_expand,2,19,0.3157894736842105
gbpjpy,1,atr_expand,bb_expand,3,20,0.3
gbpjpy,1,bb_expand,adx_up3,1,64,0.265625
gbpjpy,1,bb_expand,adx_up3,2,58,0.29310344827586204
gbpjpy,1,bb_expand,adx_up3,3,47,0.2978723404255319
gbpjpy,1,bb_expand,rsi_down1,1,7,0.42857142857142855
gbpjpy,1,bb_expand,rsi_down1,2,7,0.42857142857142855
gbpjpy,1,bb_expand,rsi_down1,3,6,0.3333333333333333
gbpjpy,1,bb_expand,atr_expand,1,21,0.2857142857142857
gbpjpy,1,bb_expand,atr_expand,2,18,0.3333333333333333
gbpjpy,1,bb_expand,atr_expand,3,10,0.3
gbpjpy,1,bb_expand,breakout_down20,1,6,0.5
gbpjpy,1,bb_expand,breakout_down20,2,5,0.6
gbpjpy,1,bb_expand,retest_down,1,6,0.5
gbpjpy,1,bb_expand,retest_down,2,5,0.6
gbpjpy,1,breakout_down20,adx_up3,1,15,0.3333333333333333
