timeframe,direction,horizon_bars,conditions,discovery_samples,validation_samples,oos_samples,discovery_lift,validation_lift,oos_lift,oos_wilson95_lower,oos_pairs_n_ge5,oos_pairs_above_oos_base,oos_pair_hit_mean,oos_min_pair_hit
d1,bear,5,macd_falling+atr_expand,406,76,104,1.10836168,1.31885390,1.46800068,0.63843045,7,6,0.75788854,0.33333333
d1,bear,5,macd_accel_down+atr_expand,406,76,104,1.10836168,1.31885390,1.46800068,0.63843045,7,6,0.75788854,0.33333333
d1,bear,5,body_bear+adx_up3,332,59,51,1.10708747,0.95754077,1.06350514,0.39523304,5,3,0.48666667,0.16666667
d1,bear,5,rsi40+atr_expand,236,50,70,1.10621063,1.56727802,1.32009685,0.54039550,7,5,0.67670068,0.25000000
d1,bear,5,adx25+di_spread_down3,1564,335,290,1.10585699,0.95200852,1.05983788,0.47014238,12,8,0.52082972,0.21052632
d1,bear,5,atr_expand+bb_expand,313,96,84,1.10295543,1.36681223,1.31531389,0.54833795,9,7,0.64338624,0.25000000
d1,bear,5,adx25+volatility,2310,361,432,1.10115720,1.16109626,1.13462431,0.51769494,12,7,0.55491485,0.37037037
d1,bear,5,bb_bear+atr_expand,404,89,99,1.10109463,1.35145479,1.40010272,0.60048739,8,7,0.69664606,0.30769231
d1,bear,10,adx_up3+atr_expand,229,38,60,1.12493440,1.13386909,1.12978094,0.57491292,6,4,0.72235450,0.42857143
d1,bear,10,adx25+atr_expand,323,47,69,1.11390239,1.20125236,1.19293639,0.62489426,8,6,0.76041667,0.16666667
