timeframe,horizon_bars,target_pips,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,1,100,superbb_bull+horizontal_break_up+impulse_bull+cross_group_return_up,144,31,6.03058591,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,superbb_bull+horizontal_break_up+retest_up+cross_group_return_up,144,31,6.03058591,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,adx25+atr_expand+mtf_volatility+cross_group_return_up,290,28,5.98899567,16.65595238,2,1,0.05555556,0.00000000
h4,1,100,triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,17,5.98074636,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,price20_bull+triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,17,5.98074636,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,ema20_rising+triangle_breakout_up+impulse_bull+elliott_wave5_bull,121,17,5.98074636,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,atr_expand+elliott_wave5_bull+mtf_adx25+cross_group_return_up,171,22,5.92478616,21.19848485,1,1,0.20000000,0.20000000
h4,1,100,triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,17,5.88349845,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,price20_bull+triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,17,5.88349845,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,ema20_rising+triangle_breakout_up+impulse_bull+elliott_impulse_bull,123,17,5.88349845,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,rsi_up1+atr_expand+mtf_volatility+cross_target_relative_up,153,25,5.67584557,18.65466667,1,0,0.00000000,0.00000000
h4,1,100,atr_expand+impulse_bull+elliott_wave5_bull+mtf_adx25,207,24,5.59358693,19.43194444,1,1,0.20000000,0.20000000
h4,1,100,adx_up3+atr_expand+mtf_adx_rising,867,167,5.50890893,8.37784431,11,2,0.01331497,0.00000000
h4,1,100,rsi_up1+superbb_bull+elliott_wave5_bull+cross_group_return_up,186,36,5.44698083,0.00000000,2,0,0.00000000,0.00000000
h4,1,100,superbb_bull+breakout20_up+elliott_wave5_bull+cross_group_return_up,186,36,5.44698083,0.00000000,2,0,0.00000000,0.00000000
h4,1,100,superbb_bull+retest_up+elliott_wave5_bull+cross_group_return_up,186,36,5.44698083,0.00000000,2,0,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_impulse_bull,160,22,5.42752732,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_impulse_bull,160,22,5.42752732,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_impulse_bull,160,22,5.42752732,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,atr_expand+breakout20_up+mtf_adx25+cross_group_return_up,187,25,5.41785259,18.65466667,1,1,0.16666667,0.16666667
h4,1,100,atr_expand+retest_up+mtf_adx25+cross_group_return_up,187,24,5.41785259,19.43194444,1,1,0.20000000,0.20000000
h4,1,100,adx_up3+atr_expand+mtf_adx25,622,112,5.35190261,12.49196429,10,2,0.02539683,0.00000000
h4,1,100,atr_expand+mtf_volatility+cross_target_relative_up,514,70,5.35009178,13.32476190,9,1,0.02222222,0.00000000
h4,1,100,adx25+atr_expand+horizontal_break_up+mtf_adx_rising,163,16,5.32763418,29.14791667,1,1,0.20000000,0.20000000
h4,1,100,adx_up3+volatility+impulse_bull+mtf_volatility,329,71,5.27905393,6.56854460,9,1,0.01388889,0.00000000
h4,1,100,superbb_bull+impulse_bull+elliott_wave5_bull+cross_group_return_up,192,36,5.27676267,0.00000000,2,0,0.00000000,0.00000000
h4,1,100,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_impulse_bull,165,22,5.26305680,0.00000000,1,0,0.00000000,0.00000000
h4,1,100,rsi_up1+superbb_bull+horizontal_break_up+elliott_wave5_bull,165,35,5.26305680,0.00000000,2,0,0.00000000,0.00000000
h4,1,100,superbb_bull+elliott_wave5_bull+cross_group_return_up,193,36,5.24942194,0.00000000,2,0,0.00000000,0.00000000
h4,1,100,price20_bull+superbb_bull+elliott_wave5_bull+cross_group_return_up,193,36,5.24942194,0.00000000,2,0,0.00000000,0.00000000
h4,1,100,ema20_rising+superbb_bull+elliott_wave5_bull+cross_group_return_up,193,36,5.24942194,0.00000000,2,0,0.00000000,0.00000000
h4,1,100,price20_bull+atr_expand+elliott_wave5_bull+mtf_adx25,249,27,5.23135164,17.27283951,1,1,0.20000000,0.20000000
h4,1,100,ema20_rising+atr_expand+elliott_wave5_bull+mtf_adx25,249,27,5.23135164,17.27283951,1,1,0.20000000,0.20000000
