timeframe,direction,horizon_bars,base_feature,toolkit_feature,period,samples,hit_rate
h4,bull,1,breakout20_up,ichimoku_cloud_bull,oos,494,0.02024291
h4,bull,1,breakout20_up,span_model_bull,disc,3893,0.06293347
h4,bull,1,breakout20_up,span_model_bull,val,957,0.05956113
h4,bull,1,breakout20_up,span_model_bull,oos,744,0.02688172
h4,bull,1,breakout20_up,bb_bull,disc,5109,0.06576629
h4,bull,1,breakout20_up,bb_bull,val,1251,0.06155076
h4,bull,1,breakout20_up,bb_bull,oos,963,0.03738318
h4,bull,1,breakout20_up,bb_upper,disc,5058,0.06563859
h4,bull,1,breakout20_up,bb_upper,val,1244,0.06189711
h4,bull,1,breakout20_up,bb_upper,oos,955,0.03769634
h4,bull,1,breakout20_up,superbb_bull,disc,341,0.08797654
h4,bull,1,breakout20_up,superbb_bull,val,76,0.17105263
h4,bull,1,breakout20_up,superbb_bull,oos,57,0.07017544
h4,bull,1,breakout20_up,superbb_squeeze,disc,659,0.06373293
h4,bull,1,breakout20_up,superbb_squeeze,val,154,0.06493506
h4,bull,1,breakout20_up,superbb_squeeze,oos,112,0.03571429
h4,bull,1,breakout20_up,superbb_expand,disc,2976,0.06552419
h4,bull,1,breakout20_up,superbb_expand,val,728,0.06043956
h4,bull,1,breakout20_up,superbb_expand,oos,581,0.04302926
h4,bull,1,breakout20_up,stoch_bull,disc,4112,0.06468872
h4,bull,1,breakout20_up,stoch_bull,val,1026,0.07115010
h4,bull,1,breakout20_up,stoch_bull,oos,788,0.04187817
h4,bull,1,breakout20_up,stoch_cross_up,disc,1200,0.06916667
h4,bull,1,breakout20_up,stoch_cross_up,val,299,0.07692308
h4,bull,1,breakout20_up,stoch_cross_up,oos,220,0.03181818
h4,bull,1,breakout20_up,rci_bull,disc,4862,0.06684492
h4,bull,1,breakout20_up,rci_bull,val,1196,0.06187291
h4,bull,1,breakout20_up,rci_bull,oos,911,0.03732162
h4,bull,1,breakout20_up,rci_strong_bull,disc,2439,0.05986060
h4,bull,1,breakout20_up,rci_strong_bull,val,572,0.05244755
h4,bull,1,breakout20_up,rci_strong_bull,oos,477,0.02096436
h4,bull,1,breakout20_up,rci_cross_up,disc,238,0.05462185
h4,bull,1,breakout20_up,rci_cross_up,val,50,0.04000000
h4,bull,1,breakout20_up,rci_cross_up,oos,48,0.02083333
h4,bull,1,breakout20_up,dmi_adx_bull,disc,2277,0.07378129
h4,bull,1,breakout20_up,dmi_adx_bull,val,493,0.07505071
h4,bull,1,breakout20_up,dmi_adx_bull,oos,320,0.03125000
h4,bull,1,breakout20_up,dmi_adx_strong_bull,disc,4112,0.06785019
h4,bull,1,breakout20_up,dmi_adx_strong_bull,val,998,0.06613226
h4,bull,1,breakout20_up,dmi_adx_strong_bull,oos,689,0.04063861
h4,bull,1,breakout20_up,fib_above382,disc,4567,0.06568864
h4,bull,1,breakout20_up,fib_above382,val,1121,0.06333631
h4,bull,1,breakout20_up,fib_above382,oos,848,0.03183962
h4,bull,1,breakout20_up,fib_above500,disc,4835,0.06659772
h4,bull,1,breakout20_up,fib_above500,val,1196,0.06187291
h4,bull,1,breakout20_up,fib_above500,oos,903,0.03322259
h4,bull,1,breakout20_up,fib_above618,disc,5011,0.06605468
h4,bull,1,breakout20_up,fib_above618,val,1234,0.06158833
h4,bull,1,breakout20_up,fib_above618,oos,950,0.03684211
h4,bull,1,breakout20_up,fib_time_zone,disc,1829,0.06615637
h4,bull,1,breakout20_up,fib_time_zone,val,444,0.05405405
h4,bull,1,breakout20_up,fib_time_zone,oos,352,0.04545455
h4,bull,1,breakout20_up,fib_time_5,disc,1047,0.06399236
h4,bull,1,breakout20_up,fib_time_5,val,253,0.05138340
h4,bull,1,breakout20_up,fib_time_5,oos,197,0.05076142
h4,bull,1,breakout20_up,fib_time_8,disc,619,0.06138934
h4,bull,1,breakout20_up,fib_time_8,val,146,0.04109589
h4,bull,1,breakout20_up,fib_time_8,oos,125,0.04000000
h4,bull,1,breakout20_up,fib_time_13,disc,416,0.07932692
h4,bull,1,breakout20_up,fib_time_13,val,106,0.05660377
h4,bull,1,breakout20_up,fib_time_13,oos,73,0.02739726
h4,bull,1,breakout20_up,fib_fan_up,disc,4567,0.06568864
h4,bull,1,breakout20_up,fib_fan_up,val,1121,0.06333631
h4,bull,1,breakout20_up,fib_fan_up,oos,848,0.03183962
h4,bull,1,breakout20_up,fib_arc_bull,disc,4835,0.06659772
h4,bull,1,breakout20_up,fib_arc_bull,val,1196,0.06187291
h4,bull,1,breakout20_up,fib_arc_bull,oos,903,0.03322259
h4,bull,1,breakout20_up,trendline_up,disc,4901,0.06651704
h4,bull,1,breakout20_up,trendline_up,val,1206,0.06053068
h4,bull,1,breakout20_up,trendline_up,oos,925,0.03783784
h4,bull,1,breakout20_up,channel_upper,disc,5109,0.06576629
h4,bull,1,breakout20_up,channel_upper,val,1251,0.06155076
h4,bull,1,breakout20_up,channel_upper,oos,963,0.03738318
h4,bull,1,breakout20_up,channel_mid_bull,disc,5109,0.06576629
h4,bull,1,breakout20_up,channel_mid_bull,val,1251,0.06155076
h4,bull,1,breakout20_up,channel_mid_bull,oos,963,0.03738318
