timeframe,target_pips,horizon_bars,conditions,discovery_n,oos_n,discovery_lift,oos_lift,oos_pairs_n_ge5,oos_pairs_above_base,oos_pair_hit_mean,oos_min_pair_hit
h4,50,3,trend_bull+pin_bull+mtf_volatility,159,17,2.35062154,2.92882562,1,1,0.40000000,0.40000000
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull,306,71,2.34101932,1.75317027,4,3,0.21415441,0.11764706
h4,50,3,adx25+pin_bull+mtf_trend_bull,340,94,2.32676964,1.67732389,4,4,0.21062565,0.20000000
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull+cross_group_bull,137,36,2.31887957,1.61356597,4,3,0.20833333,0.08333333
h4,50,3,adx_up3+pin_bull,258,61,2.31782216,2.58472862,4,4,0.32446312,0.22222222
h4,50,3,volatility+pin_bull+cross_group_return_up,235,43,2.27960276,2.70178488,4,4,0.32294372,0.27272727
h4,50,3,sma_stack_bull+volatility+pin_bull,157,19,2.26153747,2.62052819,2,2,0.32222222,0.20000000
h4,50,3,pin_bull+mtf_adx25+cross_target_relative_up,281,61,2.26111388,2.17661358,4,3,0.25110476,0.11111111
h4,50,3,pin_bull+mtf_adx25,585,117,2.24675219,2.12777930,4,3,0.24548368,0.09090909
h4,50,3,pin_bull+mtf_volatility+cross_target_relative_up,234,44,2.23610408,3.58337377,4,4,0.43086081,0.33333333
h4,50,3,volatility+pin_bull+cross_target_relative_up,204,46,2.22905753,2.70598019,4,4,0.31089744,0.16666667
h4,50,3,adx_up3+atr_expand+mtf_volatility,431,87,2.22572772,2.00304741,10,8,0.26414835,0.00000000
h4,50,3,volatility+pin_bull+mtf_trend_bull+cross_target_relative_up,121,37,2.21366383,2.91563271,4,4,0.33750000,0.20000000
h4,50,3,trend_bull+volatility+pin_bull,178,22,2.20469812,3.39477515,2,2,0.41666667,0.33333333
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull+cross_group_return_up,164,43,2.20299104,1.54387707,4,2,0.19734848,0.08333333
h4,50,3,adx25+pin_bull+cross_group_return_up,284,75,2.19336164,1.43837881,4,3,0.19076797,0.11111111
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_adx25,330,57,2.18963958,2.32935839,4,2,0.21250000,0.00000000
h4,50,3,ichimoku_cloud_bull+adx25+pin_bull+cross_target_relative_up,127,32,2.15812969,1.81526171,4,4,0.23214286,0.12500000
h4,50,3,adx25+pin_bull+cross_group_bull,237,66,2.15523232,1.63452137,4,4,0.20954132,0.12500000
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_group_bull,136,28,2.15271994,2.66732334,3,3,0.33333333,0.20000000
h4,50,3,adx25+pin_bull+cross_target_relative_up,262,63,2.13978334,1.84407539,4,4,0.23069853,0.12500000
h4,50,3,trend_bull+volatility+pin_bull+mtf_trend_bull,155,22,2.12996642,3.39477515,2,2,0.41666667,0.33333333
h4,50,3,sma_stack_bull+volatility+pin_bull+mtf_trend_bull,135,19,2.12252419,2.62052819,2,2,0.32222222,0.20000000
h4,50,3,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,185,23,2.12127711,2.16478416,3,2,0.16666667,0.00000000
h4,50,3,ichimoku_cloud_bull+adx_up3+pin_bull,145,41,2.10502211,2.63118074,4,4,0.32182540,0.14285714
h4,50,3,adx25+pin_bull+mtf_trend_bull+cross_target_relative_up,137,42,2.09153843,1.58063605,4,3,0.19448052,0.09090909
h4,50,3,ichimoku_cloud_bull+pin_bull,793,172,2.08947430,1.64036939,4,3,0.19933539,0.11428571
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_group_return_up,161,32,2.08927914,2.59323102,3,3,0.32929293,0.20000000
h4,50,3,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,53,2.07638236,2.19201415,5,4,0.33653846,0.00000000
h4,50,3,trend_bull+adx25+atr_expand+mtf_volatility,222,19,2.07638236,1.31026409,1,1,0.28571429,0.28571429
h4,50,3,adx_up3+atr_expand+mtf_volatility+cross_target_relative_up,187,33,2.06527871,1.50878896,3,2,0.24761905,0.00000000
h4,50,3,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,19,2.05106062,1.74701879,1,1,0.16666667,0.16666667
h4,50,3,trend_bull+atr_expand+mtf_volatility+cross_group_bull,155,19,2.04959033,1.74701879,2,1,0.16666667,0.00000000
h4,50,3,adx25+atr_expand+mtf_volatility,697,83,2.02871791,1.99959982,8,6,0.26856012,0.00000000
h4,50,3,trend_bull+pin_bull+mtf_adx25+cross_target_relative_up,123,17,2.02573888,2.44068802,1,1,0.44444444,0.44444444
h4,50,3,pin_bull+mtf_adx25+cross_group_return_up,281,69,2.01726827,1.92425258,4,3,0.22405226,0.07692308
h4,50,3,trend_bull+adx25+pin_bull+cross_group_return_up,136,18,2.01531229,0.92203770,2,1,0.10000000,0.00000000
h4,50,3,sma_stack_bull+adx_up3+atr_expand+mtf_volatility,130,15,2.01249367,1.65966785,1,1,0.20000000,0.20000000
h4,50,3,pin_bull+mtf_adx25+cross_group_bull,237,62,1.99753239,2.00766273,4,3,0.23581011,0.08333333
h4,50,3,ichimoku_cloud_bull+pin_bull+cross_target_relative_up,362,80,1.99608028,1.65966785,4,3,0.21317079,0.05882353
h4,50,3,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_volatility,201,45,1.98341001,2.39729801,5,5,0.35168831,0.20000000
h4,50,3,trend_bull+adx25+pin_bull+mtf_trend_bull,198,29,1.98200134,0.85844889,4,3,0.11309524,0.00000000
h4,50,3,sma_stack_bull+adx25+pin_bull,208,26,1.97655628,0.95750068,4,2,0.07738095,0.00000000
h4,50,3,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,35,1.96709907,2.13385867,4,3,0.21071429,0.00000000
h4,50,3,ichimoku_cloud_bull+rsi_up1+atr_expand+mtf_volatility,168,26,1.96514759,2.23416826,2,1,0.30000000,0.00000000
h4,50,3,sma_stack_bull+adx25+pin_bull+mtf_trend_bull,175,24,1.95773194,0.69152827,4,2,0.07738095,0.00000000
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_trend_bull,551,146,1.95579391,1.76197615,4,4,0.20991565,0.12903226
h4,50,3,trend_bull+adx25+pin_bull,236,31,1.95320713,1.07075345,4,3,0.11309524,0.00000000
h4,50,3,ichimoku_cloud_bull+pin_bull+elliott_pullback_bull,150,36,1.95179941,1.61356597,4,3,0.20627706,0.10000000
h4,50,3,sma_stack_bull+atr_expand+mtf_volatility,359,49,1.94335507,1.86289249,5,3,0.26111111,0.00000000
h4,50,3,pin_bull+mtf_trend_bull,829,199,1.92359668,1.75140829,4,4,0.20926067,0.15151515
h4,50,3,pin_bull+cross_target_relative_up,625,136,1.90362734,1.95255042,4,4,0.24569257,0.20000000
h4,50,3,volatility+horizontal_break_up+mtf_trend_bull+cross_group_bull,302,77,1.89762096,1.72433024,7,6,0.28072152,0.05882353
h4,50,3,ichimoku_cloud_bull+pin_bull+cross_group_return_up,406,99,1.88715539,1.76025378,4,4,0.21810039,0.12500000
h4,50,3,trend_bull+atr_expand+mtf_volatility,393,56,1.87032915,2.07458482,5,3,0.25460317,0.00000000
h4,50,3,ichimoku_cloud_bull+pin_bull+cross_group_bull,340,83,1.86874412,1.79963984,4,4,0.22769979,0.12500000
h4,50,3,sma_stack_bull+pin_bull+cross_group_return_up,291,47,1.86232232,1.58904369,4,3,0.19861389,0.07692308
h4,50,3,trend_bull+pin_bull+mtf_adx25+cross_group_return_up,131,16,1.85447890,3.63052343,2,2,0.46428571,0.42857143
h4,50,3,trend_bull+pin_bull+elliott_pullback_bull,128,28,1.84927804,1.77821556,3,3,0.21428571,0.14285714
h4,50,3,pin_bull+cross_group_return_up,685,162,1.84601001,1.74162676,4,4,0.22018508,0.17948718
h4,50,3,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_return_up,287,85,1.84486934,1.95255042,4,4,0.23951863,0.14285714
h4,50,6,volatility+pin_bull+mtf_volatility,246,36,2.16837224,2.04991037,4,4,0.46825397,0.40000000
h4,50,6,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,36,2.12436600,1.92932740,4,4,0.43700397,0.37500000
h4,50,6,atr_expand+pin_bull,126,24,2.08960658,1.44699555,4,3,0.35000000,0.16666667
h4,50,6,ichimoku_cloud_bull+pin_bull+mtf_volatility+cross_group_return_up,131,22,2.06205452,1.97317575,3,3,0.50952381,0.42857143
h4,50,6,volatility+pin_bull+mtf_volatility+cross_group_return_up,128,22,2.03024276,1.97317575,3,3,0.49047619,0.40000000
h4,50,6,pin_bull+mtf_volatility,488,86,1.99696009,1.91811038,4,4,0.45225528,0.36000000
h4,50,6,ichimoku_cloud_bull+volatility+pin_bull,243,59,1.94185662,2.20728135,4,4,0.50625843,0.41666667
h4,50,6,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,52,1.93267961,2.25397384,4,4,0.51871958,0.45454545
h4,50,6,price200_bull+pin_bull+mtf_volatility+cross_group_return_up,140,15,1.92949387,2.02579377,2,2,0.51428571,0.42857143
h4,50,6,volatility+pin_bull+mtf_trend_bull+cross_group_bull,128,32,1.92338788,2.44180500,4,4,0.58874459,0.54545455
h4,50,6,sma_stack_bull+pin_bull+mtf_volatility,140,13,1.90506990,1.66961025,1,1,0.42857143,0.42857143
h4,50,6,pin_bull+mtf_volatility+cross_group_bull,211,47,1.89604113,1.66250553,4,4,0.39696970,0.30000000
