timeframe,from_target,to_target,conditions,discovery_n,oos_n,oos_exit_precision,oos_pairs_n_ge5,oos_pair_precision_mean,oos_pair_precision_min
h4,150,200,di_spread_down3+mtf_adx_rising+atr_expand,65,14,0.92857143,2,0.92857143,0.85714286
h4,150,200,rsi_down3+price20_cross_down,60,14,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+price20_cross_down+pullback_bull,55,14,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+structure_lh+atr_expand,153,28,0.96428571,2,1.00000000,1.00000000
h4,150,200,rsi_down3+price20_cross_down+range_compression,49,7,1.00000000,1,1.00000000,1.00000000
h4,150,200,rsi_down3+price20_cross_down+volatility,48,13,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+mtf_adx_rising+atr_expand,99,12,0.91666667,1,1.00000000,1.00000000
h4,150,200,rsi_down3+range_compression+atr_expand,98,14,1.00000000,1,1.00000000,1.00000000
h4,150,200,rsi_down3+structure_lh+mtf_adx_rising,193,24,0.95833333,3,0.94444444,0.83333333
h4,150,200,rsi_down3+structure_lh+volatility,190,37,0.97297297,4,0.95833333,0.83333333
h4,150,200,di_spread_down3+structure_lh+atr_expand,92,24,0.95833333,3,0.95238095,0.85714286
h4,150,200,rsi_down3+mtf_adx_rising+volatility,144,17,0.94117647,2,1.00000000,1.00000000
h4,150,200,rsi_down3+atr_expand,171,28,0.96428571,2,1.00000000,1.00000000
h4,150,200,di_spread_down3+atr_expand,102,24,0.95833333,3,0.95238095,0.85714286
h4,150,200,macd_accel_down+price20_cross_down+volatility,73,13,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+close_near_low+atr_expand,70,11,1.00000000,1,1.00000000,1.00000000
h4,150,200,price20_cross_down+structure_lh+mtf_trend_bull,62,13,1.00000000,2,1.00000000,1.00000000
h4,150,200,di_spread_down3+mtf_di_strong_bull+atr_expand,61,10,0.90000000,1,1.00000000,1.00000000
h4,150,200,price20_cross_down+structure_lh+volatility,80,13,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+mtf_adx_rising,218,24,0.95833333,3,0.94444444,0.83333333
h4,150,200,rsi_down3+close_near_low+mtf_di_strong_bull,99,15,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+close_near_low+volatility,98,16,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+mtf_di_strong_bull+volatility,156,16,0.93750000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+close_near_low+mtf_trend_bull,78,22,0.90909091,3,0.92592593,0.77777778
h4,150,200,rsi_down3+mtf_di_strong_bull+atr_expand,97,8,0.87500000,1,1.00000000,1.00000000
h4,150,200,rsi_down3+pullback_bull+mtf_adx_rising,174,23,1.00000000,3,1.00000000,1.00000000
h4,150,200,rsi_down3+pullback_bull+atr_expand,114,27,1.00000000,2,1.00000000,1.00000000
h4,150,200,di_spread_down3+pullback_bull+atr_expand,57,20,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+strong_close_bear+atr_expand,56,11,1.00000000,1,1.00000000,1.00000000
h4,150,200,rsi_down3+structure_lh+mtf_di_strong_bull,205,24,0.95833333,3,0.94444444,0.83333333
h4,150,200,rsi_down3+volatility,221,37,0.97297297,4,0.95833333,0.83333333
h4,150,200,rsi_down3+close_near_low+mtf_adx_rising,92,10,1.00000000,1,1.00000000,1.00000000
h4,150,200,rsi_down3+price200_bull+mtf_adx_rising,197,19,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+price200_bull+atr_expand,107,13,1.00000000,2,1.00000000,1.00000000
h4,150,200,rsi_down3+price200_bull+volatility,157,21,1.00000000,3,1.00000000,1.00000000
h4,150,200,rsi_down3+pullback_bull+volatility,169,36,1.00000000,4,1.00000000,1.00000000
h4,150,200,rsi_down3+range_compression+mtf_adx_rising,167,23,1.00000000,3,1.00000000,1.00000000
h4,150,200,di_spread_down3+close_near_low,81,12,1.00000000,1,1.00000000,1.00000000
h4,150,200,rsi_down3+range_compression+volatility,155,22,1.00000000,3,1.00000000,1.00000000
h4,150,200,rsi_down3+price200_bull+close_near_low,108,22,0.90909091,3,0.92592593,0.77777778
h4,150,200,rsi_down3+strong_close_bear+mtf_trend_bull,61,19,0.89473684,3,0.90476190,0.71428571
h4,200,300,rsi_down3+range_compression,147,26,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+range_compression+pullback_bull,141,26,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+mtf_adx_rising,133,21,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+price200_bull+mtf_adx_rising,127,8,1.00000000,1,1.00000000,1.00000000
h4,200,300,rsi_down3+structure_lh+mtf_adx_rising,127,16,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+range_compression+volatility,118,15,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+mtf_di_strong_bull+volatility,109,9,1.00000000,1,1.00000000,1.00000000
h4,200,300,rsi_down3+close_near_low,106,39,1.00000000,4,1.00000000,1.00000000
h4,200,300,rsi_down3+mtf_adx_rising+volatility,106,19,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+price200_bull+range_compression,104,19,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+pullback_bull+mtf_adx_rising,104,21,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+range_compression+mtf_di_strong_bull,97,19,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+mtf_adx_rising+bb_expand,95,21,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+strong_close_bear,93,37,1.00000000,4,1.00000000,1.00000000
h4,200,300,rsi_down3+range_compression+mtf_adx_rising,93,8,1.00000000,1,1.00000000,1.00000000
h4,200,300,rsi_down3+structure_lh+close_near_low,89,26,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+range_compression+bb_expand,89,23,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+mtf_adx_rising+atr_expand,89,13,1.00000000,1,1.00000000,1.00000000
h4,200,300,rsi_down3+range_compression+mtf_trend_bull,87,19,1.00000000,2,1.00000000,1.00000000
h4,200,300,rsi_down3+close_near_low+volatility,81,28,1.00000000,4,1.00000000,1.00000000
h4,200,300,rsi_down3+range_compression+close_near_low,78,23,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+structure_lh+strong_close_bear,76,24,1.00000000,3,1.00000000,1.00000000
h4,200,300,rsi_down3+strong_close_bear+volatility,72,28,1.00000000,4,1.00000000,1.00000000
h4,200,300,rsi_down3+range_compression+strong_close_bear,71,21,1.00000000,3,1.00000000,1.00000000
h4,200,300,di_spread_down3+structure_lh+mtf_adx_rising,71,12,1.00000000,2,1.00000000,1.00000000
