timeframe,period,from_target,to_target,conditions,samples,exit_precision,unconditional_exit_precision,lift,wilson95_lower,target_capture_pips_mean,future_mfe_pips_mean,future_mae_pips_mean,bars_after_target_mean
h4,discovery,50,100,di_spread_down3+price20_cross_down+strong_close_bear,304,0.98684211,0.75515784,1.30680243,0.96666233,-101.99243421,51.23980263,-51.08519737,1.30263158
h4,validation,50,100,di_spread_down3+price20_cross_down+strong_close_bear,51,0.96078431,0.74500976,1.28962649,0.86783694,-105.46078431,60.03137255,-54.85098039,1.35294118
h4,oos,50,100,di_spread_down3+price20_cross_down+strong_close_bear,34,1.00000000,0.79026134,1.26540418,0.89848545,-87.63235294,23.65000000,-48.45882353,1.44117647
h4,discovery,50,100,di_spread_down3+price20_cross_down+close_near_low,335,0.98507463,0.75515784,1.30446189,0.96554227,-99.82388060,50.20000000,-50.16895522,1.27462687
h4,validation,50,100,di_spread_down3+price20_cross_down+close_near_low,65,0.95384615,0.74500976,1.28031364,0.87286153,-110.56769231,66.84769231,-48.97846154,1.27692308
h4,oos,50,100,di_spread_down3+price20_cross_down+close_near_low,43,1.00000000,0.79026134,1.26540418,0.91799020,-150.22325581,53.22093023,-47.38139535,1.34883721
h4,discovery,50,100,price20_cross_down+range_compression+atr_expand,329,0.98480243,0.75515784,1.30410144,0.96492277,-89.58145897,39.19939210,-62.56322188,1.13069909
h4,validation,50,100,price20_cross_down+range_compression+atr_expand,32,1.00000000,0.74500976,1.34226430,0.89282080,-67.49062500,30.03125000,-24.15937500,1.43750000
h4,oos,50,100,price20_cross_down+range_compression+atr_expand,47,1.00000000,0.79026134,1.26540418,0.92444240,-131.12127660,59.59787234,-32.28936170,1.34042553
h4,discovery,50,100,price20_cross_down+mtf_adx_rising+atr_expand,262,0.98473282,0.75515784,1.30400927,0.96140939,-72.70839695,36.60954198,-43.85992366,1.10687023
h4,validation,50,100,price20_cross_down+mtf_adx_rising+atr_expand,36,1.00000000,0.74500976,1.34226430,0.90358137,-94.91388889,41.60000000,-63.15833333,1.50000000
h4,oos,50,100,price20_cross_down+mtf_adx_rising+atr_expand,65,1.00000000,0.79026134,1.26540418,0.94419847,-100.97384615,39.60769231,-79.08461538,1.23076923
h4,discovery,50,100,rsi_down3+price20_cross_down+close_near_low,654,0.98318043,0.75515784,1.30195354,0.97013507,-84.44556575,44.29633028,-47.29388379,1.17584098
h4,validation,50,100,rsi_down3+price20_cross_down+close_near_low,91,0.96703297,0.74500976,1.29801383,0.90750693,-90.41428571,54.87472527,-45.21318681,1.27472527
h4,oos,50,100,rsi_down3+price20_cross_down+close_near_low,84,1.00000000,0.79026134,1.26540418,0.95626827,-113.61428571,38.68571429,-43.85714286,1.25000000
h4,discovery,50,100,rsi_down3+price20_cross_down+strong_close_bear,556,0.98201439,0.75515784,1.30040944,0.96721212,-86.78794964,44.16241007,-47.69514388,1.20143885
h4,validation,50,100,rsi_down3+price20_cross_down+strong_close_bear,69,0.97101449,0.74500976,1.30335809,0.90033416,-88.47826087,52.01594203,-50.35072464,1.36231884
h4,oos,50,100,rsi_down3+price20_cross_down+strong_close_bear,73,1.00000000,0.79026134,1.26540418,0.95000799,-82.28356164,23.50136986,-43.89452055,1.21917808
h4,discovery,50,100,price20_cross_down+atr_expand,598,0.98160535,0.75515784,1.29986778,0.96736443,-81.75267559,41.18678930,-52.91755853,1.11872910
h4,validation,50,100,price20_cross_down+atr_expand,61,1.00000000,0.74500976,1.34226430,0.94075613,-76.13278689,39.20491803,-52.53606557,1.29508197
h4,oos,50,100,price20_cross_down+atr_expand,102,0.97058824,0.79026134,1.22818641,0.91706943,-108.92254902,37.17156863,-67.72941176,1.16666667
h4,discovery,50,100,rsi_down3+close_near_low+atr_expand,527,0.98102467,0.75515784,1.29909883,0.96542648,-89.89715370,39.72713472,-50.38140417,1.09297913
h4,validation,50,100,rsi_down3+close_near_low+atr_expand,47,0.97872340,0.74500976,1.31370549,0.88887019,-143.90851064,71.55531915,-74.38297872,1.34042553
h4,oos,50,100,rsi_down3+close_near_low+atr_expand,74,0.98648649,0.79026134,1.24830413,0.92734643,-123.98108108,40.40405405,-45.66486486,1.22972973
h4,discovery,50,100,price20_cross_down+close_near_low+atr_expand,474,0.98101266,0.75515784,1.29908292,0.96431224,-85.56645570,44.10316456,-48.40253165,1.12236287
h4,validation,50,100,price20_cross_down+close_near_low+atr_expand,48,1.00000000,0.74500976,1.34226430,0.92589987,-81.97083333,42.44583333,-60.78333333,1.37500000
h4,oos,50,100,price20_cross_down+close_near_low+atr_expand,58,0.94827586,0.79026134,1.19995224,0.85860599,-138.08448276,38.00172414,-52.68275862,1.27586207
h4,discovery,50,100,price20_cross_down+mtf_di_strong_bull+atr_expand,198,0.97979798,0.75515784,1.29747441,0.94921641,-88.98484848,37.72171717,-45.43888889,1.08080808
h4,validation,50,100,price20_cross_down+mtf_di_strong_bull+atr_expand,22,1.00000000,0.74500976,1.34226430,0.85134513,-84.63181818,45.50909091,-29.10454545,1.81818182
h4,oos,50,100,price20_cross_down+mtf_di_strong_bull+atr_expand,50,1.00000000,0.79026134,1.26540418,0.92865240,-120.44200000,46.72000000,-97.95200000,1.30000000
h4,discovery,50,100,rsi_down3+price20_cross_down+volatility,386,0.97927461,0.75515784,1.29678136,0.95964225,-96.51528497,42.85725389,-48.83834197,1.12176166
h4,validation,50,100,rsi_down3+price20_cross_down+volatility,60,0.96666667,0.74500976,1.29752216,0.88636226,-98.01166667,52.70833333,-56.10166667,1.35000000
h4,oos,50,100,rsi_down3+price20_cross_down+volatility,52,1.00000000,0.79026134,1.26540418,0.93120776,-146.03653846,60.87307692,-98.12115385,1.19230769
h4,discovery,50,100,rsi_down3+structure_lh+atr_expand,711,0.97890295,0.75515784,1.29628920,0.96548486,-86.79493671,41.47566807,-53.89338959,1.07454290
h4,validation,50,100,rsi_down3+structure_lh+atr_expand,83,0.93975904,0.74500976,1.26140501,0.86661572,-104.72530120,53.00602410,-70.31807229,1.19277108
h4,oos,50,100,rsi_down3+structure_lh+atr_expand,104,0.96153846,0.79026134,1.21673479,0.90525249,-111.84903846,42.45000000,-80.61730769,1.01923077
h4,discovery,50,100,di_spread_down3+price20_cross_down+mtf_macd_bull,284,0.97887324,0.75515784,1.29624985,0.95468233,-88.32887324,53.25809859,-40.25985915,1.30985915
h4,validation,50,100,di_spread_down3+price20_cross_down+mtf_macd_bull,65,0.83076923,0.74500976,1.11511188,0.72183578,-110.09230769,79.63076923,-48.26307692,1.27692308
h4,oos,50,100,di_spread_down3+price20_cross_down+mtf_macd_bull,53,1.00000000,0.79026134,1.26540418,0.93241801,-111.91509434,37.60188679,-97.75471698,1.43396226
h4,discovery,50,100,rsi_down3+price20_cross_down+pullback_bull,735,0.97823129,0.75515784,1.29539977,0.96493276,-77.27469388,42.11768707,-47.49061224,1.20272109
h4,validation,50,100,rsi_down3+price20_cross_down+pullback_bull,97,0.93814433,0.74500976,1.25923765,0.87156217,-75.62061856,54.49690722,-31.41443299,1.25773196
h4,oos,50,100,rsi_down3+price20_cross_down+pullback_bull,97,1.00000000,0.79026134,1.26540418,0.96190596,-67.18041237,32.59587629,-67.92886598,1.34020619
h4,discovery,50,100,price20_cross_down+pullback_bull+atr_expand,503,0.97813121,0.75515784,1.29526724,0.96126893,-70.86282306,36.15149105,-53.59741551,1.10337972
h4,validation,50,100,price20_cross_down+pullback_bull+atr_expand,55,1.00000000,0.74500976,1.34226430,0.93471510,-59.36363636,38.49636364,-28.86727273,1.32727273
h4,oos,50,100,price20_cross_down+pullback_bull+atr_expand,72,0.95833333,0.79026134,1.21267901,0.88450723,-68.09305556,30.91111111,-73.01944444,1.23611111
h4,discovery,50,100,price20_cross_down+di_spread_down3,448,0.97767857,0.75515784,1.29466784,0.95940377,-92.22008929,48.85513393,-50.22187500,1.28571429
h4,validation,50,100,price20_cross_down+di_spread_down3,82,0.86585366,0.74500976,1.16220446,0.77554987,-101.57804878,72.66463415,-44.93536585,1.23170732
h4,oos,50,100,price20_cross_down+di_spread_down3,70,1.00000000,0.79026134,1.26540418,0.94797694,-120.37571429,43.03571429,-88.96142857,1.40000000
h4,discovery,50,100,di_spread_down3+price20_cross_down,448,0.97767857,0.75515784,1.29466784,0.95940377,-92.22008929,48.85513393,-50.22187500,1.28571429
h4,validation,50,100,di_spread_down3+price20_cross_down,82,0.86585366,0.74500976,1.16220446,0.77554987,-101.57804878,72.66463415,-44.93536585,1.23170732
h4,oos,50,100,di_spread_down3+price20_cross_down,70,1.00000000,0.79026134,1.26540418,0.94797694,-120.37571429,43.03571429,-88.96142857,1.40000000
h4,discovery,50,100,rsi_down3+strong_close_bear+atr_expand,448,0.97767857,0.75515784,1.29466784,0.95940377,-89.30290179,41.29174107,-44.78214286,1.10937500
h4,validation,50,100,rsi_down3+strong_close_bear+atr_expand,41,1.00000000,0.74500976,1.34226430,0.91433243,-141.98292683,69.86585366,-69.96829268,1.39024390
h4,oos,50,100,rsi_down3+strong_close_bear+atr_expand,64,0.98437500,0.79026134,1.24563224,0.91665898,-87.52031250,22.43437500,-45.95781250,1.26562500
h4,discovery,50,100,rsi_down3+price20_cross_down+false_break_up,124,0.97580645,0.75515784,1.29218873,0.93127987,-81.85080645,47.84516129,-46.67903226,1.10483871
h4,validation,50,100,rsi_down3+price20_cross_down+false_break_up,10,1.00000000,0.74500976,1.34226430,0.72246720,-160.43000000,34.45000000,-177.37000000,1.00000000
h4,oos,50,100,rsi_down3+price20_cross_down+false_break_up,8,1.00000000,0.79026134,1.26540418,0.67559244,-52.72500000,12.20000000,-33.85000000,2.87500000
h4,discovery,50,100,rsi_down3+price20_cross_down,816,0.97549020,0.75515784,1.29176993,0.96244593,-82.11789216,44.51580882,-47.36188725,1.18750000
h4,validation,50,100,rsi_down3+price20_cross_down,110,0.91818182,0.74500976,1.23244268,0.85178208,-88.58454545,59.73272727,-43.01090909,1.23636364
h4,oos,50,100,rsi_down3+price20_cross_down,127,1.00000000,0.79026134,1.26540418,0.97064035,-100.18818898,37.22598425,-64.88267717,1.25984252
h4,discovery,50,100,di_spread_down3+price20_cross_down+mtf_adx_rising,202,0.97524752,0.75515784,1.29144858,0.94337478,-86.91485149,51.57574257,-42.54950495,1.38613861
h4,validation,50,100,di_spread_down3+price20_cross_down+mtf_adx_rising,45,0.93333333,0.74500976,1.25278002,0.82143398,-108.66000000,60.96666667,-60.22222222,1.37777778
h4,oos,50,100,di_spread_down3+price20_cross_down+mtf_adx_rising,47,1.00000000,0.79026134,1.26540418,0.92444240,-115.62127660,41.81489362,-102.59787234,1.55319149
h4,discovery,50,100,rsi_down3+price20_cross_down+structure_lh,620,0.97419355,0.75515784,1.29005288,0.95849333,-79.34806452,45.02403226,-43.75693548,1.17580645
h4,validation,50,100,rsi_down3+price20_cross_down+structure_lh,92,0.93478261,0.74500976,1.25472533,0.86494204,-82.62826087,60.81413043,-30.73260870,1.26086957
h4,oos,50,100,rsi_down3+price20_cross_down+structure_lh,111,1.00000000,0.79026134,1.26540418,0.96654990,-104.68018018,39.98918919,-64.41891892,1.11711712
h4,discovery,50,100,di_spread_down3+price20_cross_down+pullback_bull,369,0.97289973,0.75515784,1.28833957,0.95084036,-85.90623306,46.15176152,-51.87452575,1.29539295
h4,validation,50,100,di_spread_down3+price20_cross_down+pullback_bull,69,0.88405797,0.74500976,1.18663946,0.78754259,-85.80144928,67.74057971,-28.99565217,1.26086957
h4,oos,50,100,di_spread_down3+price20_cross_down+pullback_bull,51,1.00000000,0.79026134,1.26540418,0.92995338,-71.25098039,28.42941176,-106.16666667,1.54901961
h4,discovery,50,100,rsi_down3+strong_close_bear+volatility,585,0.97264957,0.75515784,1.28800831,0.95603633,-83.67880342,42.27794872,-48.97709402,1.18119658
