timeframe,direction,horizon_bars,feature,disc_true_n,disc_false_n,disc_true_hit,disc_false_hit,disc_diff,disc_true_false_ratio,disc_base_lift,val_true_n,val_false_n,val_true_hit,val_false_hit,val_diff,val_true_false_ratio,val_base_lift,oos_true_n,oos_false_n,oos_true_hit,oos_false_hit,oos_diff,oos_true_false_ratio,oos_base_lift
h4,bear,1,elliott_impulse_bear,6002.00000000,73457.00000000,0.07080973,0.05282002,0.01798971,1.34058514,1.30696175,1360.00000000,18216.00000000,0.07867647,0.05709267,0.02158380,1.37804864,1.34278168,921.00000000,13070.00000000,0.06297503,0.04185157,0.02112346,1.50472323,1.45633654
h4,bear,3,mtf_inside_2,1521.00000000,77938.00000000,0.14529915,0.16565732,-0.02035817,0.87710671,0.87917490,458.00000000,19118.00000000,0.12663755,0.17287373,-0.04623618,0.73254365,0.73715634,241.00000000,13750.00000000,0.19502075,0.13338182,0.06163893,1.46212392,1.45057696
h4,bear,3,mtf_rci_cross_down,2774.00000000,76685.00000000,0.15428983,0.16566473,-0.01137490,0.93133784,0.93357569,779.00000000,18797.00000000,0.16816431,0.17194233,-0.00377802,0.97802741,0.97888332,524.00000000,13467.00000000,0.19465649,0.13210069,0.06255580,1.47354634,1.44786759
h4,bear,1,rci_strong_bear,10361.00000000,69098.00000000,0.06119100,0.05312744,0.00806356,1.15177773,1.12942533,2282.00000000,17294.00000000,0.06091148,0.05828611,0.00262537,1.04504281,1.03958427,1554.00000000,12437.00000000,0.06241956,0.04084586,0.02157370,1.52817342,1.44349107
h4,bear,1,mtf_inside_2,1521.00000000,77938.00000000,0.05391190,0.05418410,-0.00027219,0.99497648,0.99507216,458.00000000,19118.00000000,0.03056769,0.05926352,-0.02869584,0.51579260,0.52170271,241.00000000,13750.00000000,0.06224066,0.04290909,0.01933157,1.45052395,1.43935393
h4,bull,1,mtf_pin_bull,2386.00000000,77073.00000000,0.11190277,0.04792859,0.06397418,2.33478124,2.24480735,548.00000000,19028.00000000,0.12956204,0.04987387,0.07968817,2.59779407,2.48657507,459.00000000,13532.00000000,0.04575163,0.03133314,0.01441850,1.46016771,1.43845194
h4,bull,6,inside_2,1938.00000000,77521.00000000,0.31475748,0.29189510,0.02286238,1.07832397,1.07626796,318.00000000,19258.00000000,0.30817610,0.28289542,0.02528068,1.08936405,1.08778495,234.00000000,13757.00000000,0.32478632,0.22875627,0.09603006,1.41979201,1.40989310
h4,bear,6,atr_expand,4895.00000000,74564.00000000,0.36261491,0.28401105,0.07860386,1.27676339,1.25535981,940.00000000,18636.00000000,0.31914894,0.27629320,0.04285574,1.15510965,1.14656993,740.00000000,13251.00000000,0.33243243,0.23062410,0.10180833,1.44144704,1.40855910
d1,bull,1,volatility,4573.00000000,10744.00000000,0.30658211,0.23119881,0.07538330,1.32605403,1.20841951,852.00000000,2904.00000000,0.34272300,0.22348485,0.11923816,1.53354022,1.36797833,788.00000000,1938.00000000,0.27791878,0.16460268,0.11331610,1.68842194,1.40819070
h4,bear,1,channel_lower,16810.00000000,62649.00000000,0.05925045,0.05281808,0.00643236,1.12178338,1.09360771,3796.00000000,15780.00000000,0.06902002,0.05608365,0.01293637,1.23066207,1.17797379,2449.00000000,11542.00000000,0.06084116,0.03950788,0.02133328,1.53997514,1.40698953
